UKER;;KC Purwakarta;KC Subang;KC Indramayu;KC Jatibarang;KC Pamanukan;KC Sumedang;KC Majalengka;KC Cirebon Gunung Jati;KC Kuningan;KC Cirebon Kartini;KC Singaparna;KC Tasikmalaya;KC Garut;KC Ciamis;KC Banjar;KC Cibadak;KC Sukabumi;KC Cimahi;KC Cianjur;KC Soreang;KC Majalaya;KC Bandung Sukarno Hatta;KC Bandung A.H. Nasution;KC Bandung Setiabudi;KC Bandung Naripan;KC Bandung Kopo;KC Bandung Martadinata;KC Bandung AA;KC Bandung Dewi Sartika;KC Bandung Dago
31-Dec;DPK; 853,40 ; 821,09 ; 1.109,49 ; 1.241,98 ; 722,29 ; 1.225,89 ; 1.343,37 ; 959,97 ; 1.354,16 ; 1.123,92 ; 703,52 ; 1.044,51 ; 1.467,59 ; 1.030,22 ; 1.082,22 ; 809,20 ; 959,30 ; 1.344,42 ; 1.061,55 ; 869,40 ; 1.072,73 ; 422,17 ; 1.144,08 ; 662,94 ; 681,20 ; 471,44 ; 441,03 ; 0,00 ; 0,00 ; 0,00 ; 26.023,07 ; 4.748,24 ; 6.007,31 ; 5.328,06 ; 6.116,60 ; 3.822,86 ;;
01-Jan;DPK; 850,91 ; 824,98 ; 1.097,10 ; 1.232,83 ; 713,21 ; 1.229,62 ; 1.334,44 ; 961,61 ; 1.355,52 ; 1.118,76 ; 692,34 ; 1.045,88 ; 1.459,77 ; 1.034,00 ; 1.073,24 ; 805,79 ; 962,55 ; 1.357,18 ; 1.065,57 ; 869,93 ; 1.075,29 ; 575,00 ; 497,82 ; 398,42 ; 469,92 ; 474,03 ; 549,30 ; 0,00 ; 353,00 ; 478,00 ; 353,30 ; 478,40 ; 25.956,71 ; 4.719,04 ; 5.999,95 ; 5.305,23 ; 6.136,31 ; 3.796,19 
02-Jan;DPK; 850,91 ; 824,98 ; 1.097,10 ; 1.232,83 ; 713,21 ; 1.229,62 ; 1.334,44 ; 961,61 ; 1.355,52 ; 1.118,76 ; 692,34 ; 1.045,88 ; 1.459,77 ; 1.034,00 ; 1.073,24 ; 805,79 ; 962,55 ; 1.357,18 ; 1.065,57 ; 869,93 ; 1.075,29 ; 575,00 ; 497,82 ; 398,42 ; 469,92 ; 474,03 ; 549,30 ; -5,00 ; 352,00 ; 476,00 ; 353,30 ; 478,40 ; 25.956,71 ; 4.719,04 ; 5.999,95 ; 5.305,23 ; 6.136,31 ; 3.796,19 
03-Jan;DPK; 848,71 ; 822,10 ; 1.093,06 ; 1.230,25 ; 711,24 ; 1.226,24 ; 1.328,59 ; 958,95 ; 1.352,52 ; 1.112,38 ; 690,64 ; 1.041,64 ; 1.456,09 ; 1.028,60 ; 1.067,93 ; 802,95 ; 959,43 ; 1.352,85 ; 1.062,65 ; 870,37 ; 1.071,89 ; 573,24 ; 496,35 ; 396,39 ; 468,45 ; 472,07 ; 546,72 ; -2,00 ; 351,00 ; 474,00 ; 350,88 ; 476,52 ; 25.869,69 ; 4.705,36 ; 5.978,68 ; 5.284,89 ; 6.120,14 ; 3.780,62 
04-Jan;DPK; 845,55 ; 817,71 ; 1.090,38 ; 1.225,78 ; 706,92 ; 1.223,59 ; 1.323,01 ; 955,58 ; 1.348,93 ; 1.109,59 ; 688,67 ; 1.038,12 ; 1.450,71 ; 1.024,40 ; 1.062,71 ; 800,45 ; 955,23 ; 1.349,56 ; 1.057,58 ; 871,06 ; 1.068,60 ; 571,88 ; 494,61 ; 394,16 ; 466,65 ; 469,67 ; 545,23 ; -14,00 ; 277,00 ; 424,00 ; 350,20 ; 475,19 ; 25.781,73 ; 4.686,35 ; 5.960,70 ; 5.264,61 ; 6.102,47 ; 3.767,60 
05-Jan;DPK; 845,92 ; 813,30 ; 1.089,43 ; 1.230,72 ; 702,04 ; 1.223,39 ; 1.325,11 ; 957,00 ; 1.346,93 ; 1.111,92 ; 686,23 ; 1.032,04 ; 1.458,25 ; 1.019,67 ; 1.059,53 ; 798,67 ; 948,78 ; 1.343,10 ; 1.054,16 ; 872,12 ; 1.068,07 ; 570,15 ; 494,27 ; 392,58 ; 462,26 ; 529,09 ; 543,38 ; -8,00 ; 495,00 ; 477,00 ; 349,32 ; 473,14 ; 25.800,55 ; 4.681,41 ; 5.964,35 ; 5.255,72 ; 6.084,89 ; 3.814,19 
06-Jan;DPK; 844,48 ; 808,50 ; 1.086,40 ; 1.230,60 ; 699,88 ; 1.221,17 ; 1.326,02 ; 954,53 ; 1.346,53 ; 1.111,49 ; 684,17 ; 1.030,17 ; 1.453,64 ; 1.018,64 ; 1.056,23 ; 796,90 ; 949,32 ; 1.342,61 ; 1.055,05 ; 869,90 ; 1.065,10 ; 572,49 ; 494,08 ; 391,05 ; 460,89 ; 528,89 ; 543,05 ; -50,00 ; 348,00 ; 469,00 ; 348,50 ; 472,88 ; 25.763,16 ; 4.669,86 ; 5.959,74 ; 5.242,84 ; 6.078,89 ; 3.811,83 
07-Jan;DPK; 843,54 ; 810,69 ; 1.084,83 ; 1.228,44 ; 697,84 ; 1.220,22 ; 1.328,10 ; 955,73 ; 1.345,99 ; 1.108,06 ; 681,29 ; 1.028,87 ; 1.449,83 ; 1.019,44 ; 1.052,88 ; 795,24 ; 946,54 ; 1.342,55 ; 1.050,82 ; 867,93 ; 1.062,08 ; 571,37 ; 493,53 ; 391,07 ; 458,76 ; 526,99 ; 542,89 ; 17,00 ; 327,00 ; 442,00 ; 347,33 ; 472,52 ; 25.725,38 ; 4.665,34 ; 5.958,09 ; 5.232,32 ; 6.065,16 ; 3.804,47 
08-Jan;DPK; 845,08 ; 809,05 ; 1.086,72 ; 1.228,45 ; 696,53 ; 1.218,71 ; 1.325,83 ; 955,78 ; 1.345,46 ; 1.109,06 ; 682,91 ; 1.029,77 ; 1.448,76 ; 1.017,76 ; 1.052,52 ; 801,91 ; 950,83 ; 1.340,63 ; 1.051,75 ; 866,76 ; 1.060,60 ; 571,70 ; 492,72 ; 392,08 ; 457,10 ; 529,13 ; 542,16 ; -13,00 ; 336,00 ; 464,00 ; 346,02 ; 471,16 ; 25.726,93 ; 4.665,84 ; 5.954,82 ; 5.231,72 ; 6.072,48 ; 3.802,08 
09-Jan;DPK; 846,99 ; 818,98 ; 1.090,12 ; 1.234,53 ; 701,23 ; 1.221,58 ; 1.331,68 ; 965,51 ; 1.350,31 ; 1.113,75 ; 683,78 ; 1.027,73 ; 1.453,72 ; 1.020,21 ; 1.053,21 ; 808,39 ; 951,55 ; 1.342,06 ; 1.052,58 ; 876,03 ; 1.062,03 ; 572,78 ; 495,13 ; 392,41 ; 458,84 ; 528,78 ; 544,29 ; -3,00 ; 344,00 ; 466,00 ; 345,22 ; 470,38 ; 25.813,81 ; 4.691,86 ; 5.982,83 ; 5.238,65 ; 6.092,64 ; 3.807,83 
10-Jan;DPK; 843,38 ; 818,03 ; 1.086,88 ; 1.229,01 ; 700,75 ; 1.217,68 ; 1.327,14 ; 962,45 ; 1.347,73 ; 1.108,37 ; 682,69 ; 1.023,84 ; 1.450,21 ; 1.014,80 ; 1.051,27 ; 804,74 ; 948,49 ; 1.335,33 ; 1.050,46 ; 874,14 ; 1.058,14 ; 571,28 ; 493,34 ; 390,00 ; 457,08 ; 526,62 ; 542,16 ; 2,00 ; 343,00 ; 468,00 ; 343,10 ; 468,34 ; 25.727,43 ; 4.678,06 ; 5.963,37 ; 5.222,80 ; 6.071,29 ; 3.791,91 
11-Jan;DPK; 842,01 ; 811,64 ; 1.083,81 ; 1.227,76 ; 698,85 ; 1.214,68 ; 1.323,09 ; 959,31 ; 1.344,73 ; 1.104,93 ; 679,31 ; 1.020,68 ; 1.444,47 ; 1.011,90 ; 1.047,41 ; 802,56 ; 946,24 ; 1.329,97 ; 1.048,71 ; 872,28 ; 1.054,54 ; 569,74 ; 491,91 ; 388,26 ; 456,48 ; 524,86 ; 540,64 ; -7,00 ; 366,00 ; 467,00 ; 341,84 ; 467,73 ; 25.650,33 ; 4.664,07 ; 5.946,75 ; 5.203,77 ; 6.054,30 ; 3.781,45 
12-Jan;DPK; 840,98 ; 808,24 ; 1.084,21 ; 1.229,08 ; 696,37 ; 1.217,34 ; 1.322,20 ; 955,75 ; 1.346,95 ; 1.106,03 ; 679,33 ; 1.025,18 ; 1.445,01 ; 1.011,76 ; 1.051,82 ; 802,30 ; 943,65 ; 1.329,57 ; 1.046,53 ; 866,82 ; 1.053,69 ; 569,49 ; 492,60 ; 387,95 ; 456,71 ; 527,06 ; 540,87 ; -1,00 ; 346,00 ; 456,00 ; 344,37 ; 467,24 ; 25.649,10 ; 4.658,89 ; 5.948,28 ; 5.213,09 ; 6.042,54 ; 3.786,30 
13-Jan;DPK; 841,30 ; 806,35 ; 1.081,17 ; 1.224,10 ; 688,80 ; 1.218,75 ; 1.324,21 ; 957,05 ; 1.344,73 ; 1.105,67 ; 676,94 ; 1.023,01 ; 1.439,92 ; 1.009,07 ; 1.050,38 ; 802,55 ; 940,25 ; 1.327,66 ; 1.042,31 ; 862,56 ; 1.051,97 ; 568,48 ; 491,20 ; 388,63 ; 458,01 ; 525,67 ; 540,09 ; 0,00 ; 336,00 ; 466,00 ; 335,76 ; 465,90 ; 25.589,53 ; 4.647,62 ; 5.947,57 ; 5.205,09 ; 6.013,04 ; 3.776,20 
14-Jan;DPK; 844,06 ; 810,05 ; 1.079,18 ; 1.224,41 ; 689,62 ; 1.214,57 ; 1.326,43 ; 957,27 ; 1.345,73 ; 1.105,84 ; 678,92 ; 1.022,43 ; 1.439,64 ; 1.009,23 ; 1.048,78 ; 800,33 ; 942,30 ; 1.328,69 ; 1.040,55 ; 863,51 ; 1.053,65 ; 566,89 ; 492,58 ; 390,74 ; 457,80 ; 525,63 ; 539,80 ; 0,00 ; 336,00 ; 466,00 ; 336,55 ; 466,07 ; 25.558,25 ; 4.647,32 ; 5.944,76 ; 5.199,41 ; 6.006,26 ; 3.760,49
15-Jan;DPK; 843,37 ; 814,57 ; 1.082,07 ; 1.228,01 ; 693,39 ; 1.219,67 ; 1.324,98 ; 955,91 ; 1.348,57 ; 1.105,94 ; 676,48 ; 1.019,44 ; 1.439,02 ; 1.008,50 ; 1.047,57 ; 800,60 ; 945,03 ; 1.329,91 ; 1.042,10 ; 860,92 ; 1.052,97 ; 566,58 ; 493,78 ; 392,27 ; 457,09 ; 524,90 ; 541,00 ; 0,00 ; 337,00 ; 464,00 ; 336,68 ; 464,36 
16-Jan;DPK; 838,94 ; 809,46 ; 1.076,24 ; 1.223,06 ; 689,83 ; 1.215,21 ; 1.318,38 ; 952,35 ; 1.341,04 ; 1.102,69 ; 674,19 ; 1.015,66 ; 1.429,57 ; 1.002,62 ; 1.042,04 ; 794,41 ; 940,60 ; 1.324,01 ; 1.034,79 ; 857,66 ; 1.045,98 ; 565 ; 491,02 ; 391,09 ; 454,08 ; 521,72 ; 539,38 ; 0,00 ; 335,00 ; 462,00 
17-Jan;DPK; 836,55 ; 806,65 ; 1.071,97 ; 1.219,13 ; 686,73 ; 1.216,29 ; 1.314,29 ; 954,30 ; 1.337,91 ; 1.097,67 ; 676,39 ; 1.014,92 ; 1.431,27 ; 999,91 ; 1.043,04 ; 792,64 ; 938,58 ; 1.320,33 ; 1.035,14 ; 856,44 ; 1.043,30 ; 563,14 ; 487,96 ; 389,09 ; 453,20 ; 521,51 ; 537,10 ; 0,00 ; 334,00 ; 461,00 
18-Jan;DPK; 833,42 ; 805,58 ; 1.068,32 ; 1.215,78 ; 684,32 ; 1.212,73 ; 1.309,40 ; 951,74 ; 1.335,17 ; 1.095,88 ; 673,16 ; 1.009,95 ; 1.426,32 ; 999,02 ; 1.038,20 ; 790,41 ; 935,91 ; 1.315,09 ; 1.030,96 ; 854,83 ; 1.039,31 ; 562,05 ; 486,67 ; 387,54 ; 451,39 ; 519,66 ; 535,95; 0,00 ; 334,00 ; 461,00 
19-Jan;DPK; 832,73 ; 801,50 ; 1.069,89 ; 1.214,80 ; 679,42 ; 1.213,36 ; 1.310,20 ; 949,52 ; 1.336,82 ; 1.095,23 ; 673,04 ; 1.015,04 ; 1.429,36 ; 1.001,87 ; 1.039,75 ; 789,46 ; 936,15 ; 1.311,10 ; 1.033,37 ; 855,76 ; 1.042,14 ; 563,07 ; 486,25 ; 389,21 ; 452,66 ; 521,39 ; 536,58 ; 0,00 ; 334,00 ; 460,00 
20-Jan;DPK; 829,50 ; 796,38 ; 1.069,10 ; 1.212,88 ; 676,19 ; 1.210,64 ; 1.305,64 ; 948,32 ; 1.331,75 ; 1.094,60 ; 668,57 ; 1.009,04 ; 1.418,87 ; 997,58 ; 1.039,64 ; 788,52 ; 934,53 ; 1.308,05 ; 1.026,56 ; 852,42 ; 1.039,59 ; 561,14 ; 487,30 ; 388,90 ; 452,27 ; 519,24 ; 531,99 ; 0,00 ; 331,00 ; 459,00 
21-Jan;DPK; 825,50 ; 795,76 ; 1.067,65 ; 1.213,47 ; 674,78 ; 1.209,33 ; 1.305,26 ; 944,37 ; 1.331,31 ; 1.091,46 ; 668,46 ; 1.009,14 ; 1.419,07 ; 995,80 ; 1.036,45 ; 786,11 ; 937,76 ; 1.306,43 ; 1.021,83 ; 853,04 ; 1.035,74 ; 559,83 ; 486,67 ; 389,16 ; 450,83 ; 518,90 ; 531,62 ; 0,00 ; 318,00 ; 452,00 
22-Jan;DPK; 827,10 ; 796,39 ; 1.072,47 ; 1.214,53 ; 674,88 ; 1.209,27 ; 1.307,26 ; 944,18 ; 1.331,94 ; 1.090,95 ; 667,45 ; 1.009,64 ; 1.424,67 ; 995,62 ; 1.040,41 ; 786,05 ; 934,83 ; 1.305,45 ; 1.020,84 ; 851,52 ; 1.034,90 ; 561,45 ; 488,66 ; 389,18 ; 449,98 ; 516,81 ; 532,34 ; 0,00 ; 331,00 ; 454,00 
23-Jan;DPK; 837,90 ; 809,44 ; 1.075,73 ; 1.220,40 ; 681,76 ; 1.219,48 ; 1.315,71 ; 949,80 ; 1.345,68 ; 1.097,42 ; 673,66 ; 1.016,50 ; 1.436,09 ; 1.008,64 ; 1.041,93 ; 791,94 ; 950,20 ; 1.316,22 ; 1.031,02 ; 861,29 ; 1.044,09 ; 565,45 ; 490,63 ; 393,22 ; 452,81 ; 518,81 ; 533,88 ; 0,00 ; 332,84 ; 454,96 
24-Jan;DPK; 836,85 ; 807,41 ; 1.075,77 ; 1.218,16 ; 676,77 ; 1.216,66 ; 1.311,86 ; 950,73 ; 1.342,58 ; 1.093,33 ; 680,64 ; 1.018,50 ; 1.438,73 ; 1.007,64 ; 1.040,78 ; 791,92 ; 947,24 ; 1.314,14 ; 1.032,03 ; 857,28 ; 1.040,07 ; 564,62 ; 489,63 ; 391,27 ; 450,80 ; 518,80 ; 530,88 ; 0,00 ; 332,00 ; 456,00 
25-Jan;DPK; 828,85 ; 802,41 ; 1.070,74 ; 1.210,18 ; 671,77 ; 1.208,84 ; 1.304,82 ; 944,74 ; 1.339,59 ; 1.086,35 ; 672,50 ; 1.008,48 ; 1.423,82 ; 998,69 ; 1.032,77 ; 784,80 ; 938,25 ; 1.301,21 ; 1.024,06 ; 851,68 ; 1.032,07 ; 562,66 ; 485,63 ; 388,12 ; 447,86 ; 515,82 ; 527,89 ; 0,00 ; 329,00 ; 452,00 
26-Jan;DPK; 830,14 ; 806,40 ; 1.065,66 ; 1.210,49 ; 674,88 ; 1.212,38 ; 1.307,93 ; 944,97 ; 1.338,35 ; 1.086,54 ; 677,59 ; 1.013,03 ; 1.424,01 ; 1.002,63 ; 1.036,66 ; 783,97 ; 940,47 ; 1.300,97 ; 1.025,93 ; 850,23 ; 1.035,33 ; 564,03 ; 484,69 ; 388,06 ; 449,33 ; 519,07 ; 528,69 ; 0,00 ; 332,00 ; 453,00 
27-Jan;DPK; 834,29 ; 806,45 ; 1.070,48 ; 1.213,69 ; 675,13 ; 1.212,13 ; 1.308,01 ; 946,67 ; 1.337,79 ; 1.088,78 ; 679,79 ; 1.015,43 ; 1.425,77 ; 1.003,63 ; 1.037,62 ; 784,37 ; 941,39 ; 1.303,54 ; 1.031,95 ; 852,23 ; 1.036,44 ; 564,70 ; 484,81 ; 390,07 ; 448,85 ; 519,06 ; 529,75 ; 0,00 ; 330,00 ; 451,00 
28-Jan;DPK; 837,02 ; 807,48 ; 1.073,60 ; 1.217,18 ; 676,98 ; 1.215,80 ; 1.311,04 ; 951,46 ; 1.342,52 ; 1.092,67 ; 679,79 ; 1.016,35 ; 1.428,82 ; 1.005,62 ; 1.039,50 ; 791,15 ; 945,44 ; 1.305,03 ; 1.035,85 ; 854,68 ; 1.042,11 ; 560,59 ; 485,85 ; 392,06 ; 449,64 ; 520,02 ; 529,83 ; 0,00 ; 331,00 ; 454,00 
29-Jan;DPK; 838,13 ; 807,49 ; 1.073,60 ; 1.220,25 ; 681,05 ; 1.227,50 ; 1.314,54 ; 948,90 ; 1.344,23 ; 1.093,31 ; 684,79 ; 1.017,40 ; 1.431,14 ; 1.007,57 ; 1.041,17 ; 790,12 ; 946,56 ; 1.310,96 ; 1.036,83 ; 854,72 ; 1.038,27 ; 562,60 ; 485,86 ; 393,06 ; 449,61 ; 520,98 ; 529,29 ; 0,00 ; 330,00 ; 454,00 
30-Jan;DPK; 846,85 ; 813,52 ; 1.078,42 ; 1.224,12 ; 683,92 ; 1.240,29 ; 1.322,76 ; 950,14 ; 1.354,51 ; 1.100,38 ; 691,09 ; 1.027,14 ; 1.443,15 ; 1.013,25 ; 1.048,66 ; 796,00 ; 956,17 ; 1.326,98 ; 1.048,58 ; 863,59 ; 1.049,39 ; 564,63 ; 488,14 ; 392,98 ; 451,93 ; 522,98 ; 532,12 ; 0,00 ; 331,00 ; 458,00 
31-Jan;DPK; 848,85 ; 818,49 ; 1.089,35 ; 1.226,04 ; 688,92 ; 1.245,31 ; 1.330,74 ; 955,91 ; 1.360,51 ; 1.102,04 ; 704,14 ; 1.037,09 ; 1.463,66 ; 1.017,15 ; 1.057,66 ; 800,00 ; 964,18 ; 1.332,89 ; 1.058,58 ; 867,60 ; 1.053,38 ; 564,59 ; 488,14 ; 393,98 ; 451,81 ; 523,91 ; 530,85 ; 0,00 ; 333,00 ; 458,00 
01-Feb;DPK; 849,68 ; 815,95 ; 1.078,76 ; 1.229,93 ; 686,14 ; 1.247,29 ; 1.332,54 ; 955,37 ; 1.366,47 ; 1.103,35 ; 701,09 ; 1.040,02 ; 1.456,76 ; 1.023,77 ; 1.059,02 ; 800,80 ; 962,31 ; 1.341,20 ; 1.061,38 ; 865,55 ; 1.050,46 ; 568,09 ; 491,53 ; 400,83 ; 459,01 ; 524,40 ; 537,62 ; 0,00 ; 337,00 ; 463,00 
02-Feb;DPK; 849,68 ; 815,95 ; 1.078,76 ; 1.229,93 ; 686,14 ; 1.247,29 ; 1.332,54 ; 955,37 ; 1.366,47 ; 1.103,35 ; 701,09 ; 1.040,02 ; 1.456,76 ; 1.023,77 ; 1.059,02 ; 800,80 ; 962,31 ; 1.341,20 ; 1.061,38 ; 865,55 ; 1.050,46 ; 568,09 ; 491,53 ; 400,83 ; 459,01 ; 524,40 ; 537,62 ; 0,00 ; 337,00 ; 463,00 
03-Feb;DPK; 847,38 ; 812,97 ; 1.080,27 ; 1.231,87 ; 684,73 ; 1.209,89 ; 1.325,78 ; 954,10 ; 1.362,90 ; 1.102,00 ; 696,03 ; 1.037,55 ; 1.453,11 ; 1.022,42 ; 1.055,29 ; 796,83 ; 957,52 ; 1.338,87 ; 1.060,44 ; 864,40 ; 1.048,18 ; 564,91 ; 492,53 ; 396,58 ; 456,95 ; 523,33 ; 535,42 ; 0,00 ; 335,00 ; 459,00 
04-Feb;DPK; 845,54 ; 810,20 ; 1.076,02 ; 1.228,17 ; 680,66 ; 1.210,88 ; 1.324,93 ; 953,83 ; 1.361,03 ; 1.097,01 ; 694,10 ; 1.040,64 ; 1.449,72 ; 1.022,37 ; 1.052,18 ; 792,40 ; 959,33 ; 1.337,92 ; 1.056,39 ; 864,66 ; 1.047,87 ; 563,05 ; 493,51 ; 395,50 ; 457,62 ; 522,45 ; 533,82 ; 0,00 ; 334,00 ; 461,00 
05-Feb;DPK; 847,43 ; 807,74 ; 1.080,56 ; 1.233,17 ; 681,64 ; 1.211,85 ; 1.320,75 ; 951,93 ; 1.362,36 ; 1.102,21 ; 696,01 ; 1.041,33 ; 1.456,02 ; 1.020,60 ; 1.051,73 ; 792,72 ; 956,52 ; 1.335,51 ; 1.051,88 ; 861,52 ; 1.046,25 ; 564,88 ; 491,47 ; 396,59 ; 457,78 ; 522,82 ; 531,61 ; 0,00 ; 333,00 ; 460,00 
06-Feb;DPK; 847,38 ; 830,72 ; 1.085,86 ; 1.235,28 ; 701,34 ; 1.244,65 ; 1.354,75 ; 953,69 ; 1.365,93 ; 1.104,34 ; 724,01 ; 1.064,12 ; 1.462,71 ; 1.017,76 ; 1.069,30 ; 794,67 ; 967,81 ; 1.342,29 ; 1.115,19 ; 866,51 ; 1.050,06 ; 564,85 ; 493,28 ; 396,14 ; 455,86 ; 524,48 ; 533,83 ; 0,00 ; 333,00 ; 459,00 
07-Feb;DPK; 846,36 ; 817,69 ; 1.078,69 ; 1.231,28 ; 689,23 ; 1.233,46 ; 1.342,59 ; 951,91 ; 1.366,03 ; 1.098,35 ; 714,90 ; 1.058,12 ; 1.469,51 ; 1.015,66 ; 1.067,13 ; 792,68 ; 966,50 ; 1.337,24 ; 1.093,18 ; 865,49 ; 1.046,87 ; 563,34 ; 490,28 ; 394,23 ; 453,83 ; 521,23 ; 531,83 ; 0,00 ; 332,00 ; 458,00 
