Row L;uker;Deposito;Giro;Tabungan;Grand Total
25;00025 -- KC Garut (Konsolidasi-MB);114,98;0,3889370;1303,50;1418,87
28;00028 -- KC Indramayu (Konsolidasi-MB);122,73;0,0589622;946,30;1069,10
46;00046 -- KC Majalengka (Konsolidasi-MB);111,37;0,0160250;1194,25;1305,64
75;00075 -- KC Purwakarta (Konsolidasi-MB);164,46;0,0045043;665,04;829,50
92;00092 -- KC Sukabumi (Konsolidasi-MB);108,00;0,7698718;825,76;934,53
94;00094 -- KC Sumedang (Konsolidasi-MB);284,16;18,9236124;907,55;1210,64
100;00100 -- KC Tasikmalaya (Konsolidasi-MB);66,67;0,1397134;942,23;1009,04
104;00104 -- KC Ciamis (Konsolidasi-MB);104,80;0,0085535;892,77;997,58
105;00105 -- KC Cianjur (Konsolidasi-MB);91,77;0,1193346;934,67;1026,56
107;00107 -- KC Cirebon Kartini (Konsolidasi-MB);143,05;0,6750822;950,88;1094,60
123;00123 -- KC Subang (Konsolidasi-MB);100,79;0,0938729;695,50;796,38
132;00132 -- KC Majalaya (Konsolidasi-MB);143,68;1,9348078;893,98;1039,59
133;00133 -- KC Kuningan (Konsolidasi-MB);121,01;0,0909076;1210,64;1331,75
137;00137 -- KC Cimahi (Konsolidasi-MB);198,42;0,0776211;1109,56;1308,05
161;00161 -- KC Singaparna (Konsolidasi-MB);35,03;0,0229721;633,51;668,57
162;00162 -- KC Banjar (Konsolidasi-MB);106,42;0,0621699;933,16;1039,64
165;00165 -- KC Jatibarang (Konsolidasi-MB);85,61;0,0086913;1127,25;1212,88
181;00181 -- KC Cibadak (Konsolidasi-MB);79,07;0,0240928;709,42;788,52
337;00337 -- KC Bandung Naripan (Konsolidasi-MB);112,90;0,0320754;339,33;452,27
354;00354 -- KC Bandung A.H. Nasution (Konsolidasi-MB);91,53;0,0027950;395,76;487,30
355;00355 -- KC Pamanukan (Konsolidasi-MB);33,97;0,0403682;642,19;676,19
389;00389 -- KC Bandung Martadinata (Konsolidasi-MB);126,87;0,0074711;405,11;531,99
401;00401 -- KC Bandung Kopo (Konsolidasi-MB);102,10;0,0080773;417,14;519,24
406;00406 -- KC Cirebon Gunung Jati (Konsolidasi-MB);103,04;0,2877423;845,00;948,32
407;00407 -- KC Bandung Sukarno Hatta (Konsolidasi-MB);131,94;0,0011399;429,20;561,14
408;00408 -- KC Bandung Setiabudi (Konsolidasi-MB);65,94;0,2487152;322,71;388,90
544;00544 -- KC Soreang (Konsolidasi-MB);111,42;0,0233682;740,97;852,42
