Row Labels;uker; Deposito ; Giro ; Tabungan ; Grand Total 
5; KC Bandung AA (Konsolidasi-MB); 615 ; 328 ; 1.206 ; 2.149 
25; KC Garut (Konsolidasi-MB); 105 ; 170 ; 502 ; 776 
28; KC Indramayu (Konsolidasi-MB); 102 ; 93 ; 416 ; 611 
46; KC Majalengka (Konsolidasi-MB); 62 ; 42 ; 244 ; 348 
75; KC Purwakarta (Konsolidasi-MB); 83 ; 95 ; 303 ; 482 
92; KC Sukabumi (Konsolidasi-MB); 64 ; 83 ; 365 ; 512 
94; KC Sumedang (Konsolidasi-MB); 89 ; 65 ; 347 ; 501 
100; KC Tasikmalaya (Konsolidasi-MB); 94 ; 113 ; 433 ; 639 
104; KC Ciamis (Konsolidasi-MB); 51 ; 55 ; 228 ; 334 
105; KC Cianjur (Konsolidasi-MB); 161 ; 65 ; 408 ; 634 
107; KC Cirebon Kartini (Konsolidasi-MB); 525 ; 259 ; 1.059 ; 1.842 
123; KC Subang (Konsolidasi-MB); 72 ; 164 ; 257 ; 492 
132; KC Majalaya (Konsolidasi-MB); 97 ; 22 ; 274 ; 393 
133; KC Kuningan (Konsolidasi-MB); 173 ; 74 ; 371 ; 619 
137; KC Cimahi (Konsolidasi-MB); 371 ; 409 ; 1.186 ; 1.966 
161; KC Singaparna (Konsolidasi-MB); 126 ; 41 ; 243 ; 411 
162; KC Banjar (Konsolidasi-MB); 52 ; 57 ; 216 ; 324 
165; KC Jatibarang (Konsolidasi-MB); 48 ; 26 ; 221 ; 295 
181; KC Cibadak (Konsolidasi-MB); 76 ; 85 ; 294 ; 455 
198; KANWIL Bandung (Konsolidasi-MB); -   ; -   ; 0 ; 0 
286; KC Bandung Dewi Sartika (Konsolidasi-MB); 1.162 ; 315 ; 1.077 ; 2.554 
337; KC Bandung Naripan (Konsolidasi-MB); 240 ; 265 ; 509 ; 1.014 
354; KC Bandung A.H. Nasution (Konsolidasi-MB); 514 ; 258 ; 809 ; 1.581 
355; KC Pamanukan (Konsolidasi-MB); 65 ; 141 ; 206 ; 412 
389; KC Bandung Martadinata (Konsolidasi-MB); 462 ; 175 ; 341 ; 979 
401; KC Bandung Kopo (Konsolidasi-MB); 551 ; 184 ; 461 ; 1.196 
405; KC Bandung Dago (Konsolidasi-MB); 392 ; 263 ; 593 ; 1.248 
406; KC Cirebon Gunung Jati (Konsolidasi-MB); 138 ; 94 ; 386 ; 619 
407; KC Bandung Sukarno Hatta (Konsolidasi-MB); 469 ; 236 ; 421 ; 1.126 
408; KC Bandung Setiabudi (Konsolidasi-MB); 231 ; 98 ; 424 ; 752 
544; KC Soreang (Konsolidasi-MB); 115 ; 52 ; 290 ; 457 
Grand Total;Grand Total; 7.305 ; 4.330 ; 14.088 ; 25.723 
