Row Labels;uker; Deposito ; Giro ; Tabungan ; Grand Total 
5; KC Bandung AA (Konsolidasi-MB); 614 ; 331 ; 1.208 ; 2.153 
25; KC Garut (Konsolidasi-MB); 105 ; 151 ; 510 ; 766 
28; KC Indramayu (Konsolidasi-MB); 102 ; 86 ; 417 ; 606 
46; KC Majalengka (Konsolidasi-MB); 62 ; 46 ; 250 ; 358 
75; KC Purwakarta (Konsolidasi-MB); 83 ; 119 ; 306 ; 509 
92; KC Sukabumi (Konsolidasi-MB); 59 ; 103 ; 380 ; 543 
94; KC Sumedang (Konsolidasi-MB); 87 ; 70 ; 359 ; 516 
100; KC Tasikmalaya (Konsolidasi-MB); 93 ; 105 ; 434 ; 631 
104; KC Ciamis (Konsolidasi-MB); 50 ; 62 ; 229 ; 341 
105; KC Cianjur (Konsolidasi-MB); 159 ; 80 ; 430 ; 669 
107; KC Cirebon Kartini (Konsolidasi-MB); 512 ; 270 ; 1.086 ; 1.868 
123; KC Subang (Konsolidasi-MB); 72 ; 166 ; 262 ; 500 
132; KC Majalaya (Konsolidasi-MB); 97 ; 33 ; 279 ; 409 
133; KC Kuningan (Konsolidasi-MB); 173 ; 77 ; 376 ; 626 
137; KC Cimahi (Konsolidasi-MB); 372 ; 426 ; 1.250 ; 2.048 
161; KC Singaparna (Konsolidasi-MB); 127 ; 53 ; 246 ; 426 
162; KC Banjar (Konsolidasi-MB); 52 ; 62 ; 220 ; 335 
165; KC Jatibarang (Konsolidasi-MB); 49 ; 36 ; 212 ; 296 
181; KC Cibadak (Konsolidasi-MB); 76 ; 89 ; 302 ; 467 
198; KANWIL Bandung (Konsolidasi-MB); -   ; -   ; 0 ; 0 
286; KC Bandung Dewi Sartika (Konsolidasi-MB); 1.159 ; 366 ; 1.133 ; 2.658 
337; KC Bandung Naripan (Konsolidasi-MB); 213 ; 255 ; 559 ; 1.027 
354; KC Bandung A.H. Nasution (Konsolidasi-MB); 519 ; 245 ; 836 ; 1.600 
355; KC Pamanukan (Konsolidasi-MB); 64 ; 162 ; 283 ; 508 
389; KC Bandung Martadinata (Konsolidasi-MB); 463 ; 239 ; 366 ; 1.067 
401; KC Bandung Kopo (Konsolidasi-MB); 576 ; 185 ; 470 ; 1.232 
405; KC Bandung Dago (Konsolidasi-MB); 385 ; 262 ; 641 ; 1.288 
406; KC Cirebon Gunung Jati (Konsolidasi-MB); 136 ; 104 ; 406 ; 646 
407; KC Bandung Sukarno Hatta (Konsolidasi-MB); 500 ; 160 ; 439 ; 1.098 
408; KC Bandung Setiabudi (Konsolidasi-MB); 230 ; 106 ; 432 ; 768 
544; KC Soreang (Konsolidasi-MB); 119 ; 56 ; 291 ; 466 
Grand Total;Grand Total; 7.310 ; 4.504 ; 14.612 ; 26.427 
