Row Labels;uker; Deposito ; Giro ; Tabungan ; Grand Total 
5; KC Bandung AA (Konsolidasi-MB); 612 ; 335 ; 1.221 ; 2.168 
25; KC Garut (Konsolidasi-MB); 103 ; 123 ; 501 ; 726 
28; KC Indramayu (Konsolidasi-MB); 103 ; 80 ; 418 ; 601 
46; KC Majalengka (Konsolidasi-MB); 62 ; 42 ; 248 ; 352 
75; KC Purwakarta (Konsolidasi-MB); 93 ; 89 ; 307 ; 490 
92; KC Sukabumi (Konsolidasi-MB); 59 ; 82 ; 343 ; 484 
94; KC Sumedang (Konsolidasi-MB); 87 ; 66 ; 363 ; 516 
100; KC Tasikmalaya (Konsolidasi-MB); 93 ; 109 ; 437 ; 639 
104; KC Ciamis (Konsolidasi-MB); 50 ; 56 ; 234 ; 340 
105; KC Cianjur (Konsolidasi-MB); 164 ; 63 ; 432 ; 659 
107; KC Cirebon Kartini (Konsolidasi-MB); 513 ; 210 ; 1.082 ; 1.805 
123; KC Subang (Konsolidasi-MB); 72 ; 164 ; 270 ; 506 
132; KC Majalaya (Konsolidasi-MB); 98 ; 20 ; 277 ; 395 
133; KC Kuningan (Konsolidasi-MB); 173 ; 73 ; 385 ; 631 
137; KC Cimahi (Konsolidasi-MB); 368 ; 419 ; 1.296 ; 2.083 
161; KC Singaparna (Konsolidasi-MB); 127 ; 40 ; 247 ; 414 
162; KC Banjar (Konsolidasi-MB); 52 ; 62 ; 222 ; 336 
165; KC Jatibarang (Konsolidasi-MB); 49 ; 26 ; 213 ; 288 
181; KC Cibadak (Konsolidasi-MB); 76 ; 88 ; 286 ; 450 
198; KANWIL Bandung (Konsolidasi-MB); -   ; -   ; 0 ; 0 
286; KC Bandung Dewi Sartika (Konsolidasi-MB); 1.158 ; 364 ; 1.092 ; 2.613 
337; KC Bandung Naripan (Konsolidasi-MB); 211 ; 255 ; 558 ; 1.024 
354; KC Bandung A.H. Nasution (Konsolidasi-MB); 519 ; 239 ; 823 ; 1.581 
355; KC Pamanukan (Konsolidasi-MB); 64 ; 144 ; 221 ; 429 
389; KC Bandung Martadinata (Konsolidasi-MB); 468 ; 221 ; 336 ; 1.025 
401; KC Bandung Kopo (Konsolidasi-MB); 575 ; 116 ; 377 ; 1.068 
405; KC Bandung Dago (Konsolidasi-MB); 384 ; 249 ; 640 ; 1.273 
406; KC Cirebon Gunung Jati (Konsolidasi-MB); 135 ; 95 ; 403 ; 634 
407; KC Bandung Sukarno Hatta (Konsolidasi-MB); 500 ; 329 ; 431 ; 1.260 
408; KC Bandung Setiabudi (Konsolidasi-MB); 230 ; 99 ; 426 ; 755 
544; KC Soreang (Konsolidasi-MB); 119 ; 51 ; 291 ; 461 
Grand Total;Grand Total; 7.317 ; 4.308 ; 14.381 ; 26.005 
