Row L;uker;Deposito;Giro;Tabungan;Grand Total
5; KC Bandung AA (Konsolidasi MB);359;260;991;1610
25; KC Garut (Konsolidasi MB);151;105;470;726
28; KC Indramayu (Konsolidasi MB);111;74;411;596
46; KC Majalengka (Konsolidasi MB);48;97;218;363
75; KC Purwakarta (Konsolidasi MB);90;171;282;543
92; KC Sukabumi (Konsolidasi MB);72;86;321;479
94; KC Sumedang (Konsolidasi MB);72;64;360;496
100; KC Tasikmalaya (Konsolidasi MB);75;109;442;626
104; KC Ciamis (Konsolidasi MB);33;71;210;314
105; KC Cianjur (Konsolidasi MB);157;51;373;581
107; KC Cirebon Kartini (Konsolidasi MB);431;251;738;1420
123; KC Subang (Konsolidasi MB);71;141;273;486
132; KC Majalaya (Konsolidasi MB);56;17;242;315
133; KC Kuningan (Konsolidasi MB);131;60;338;529
137; KC Cimahi (Konsolidasi MB);468;100;697;1265
161; KC Singaparna (Konsolidasi MB);142;55;253;450
162; KC Banjar (Konsolidasi MB);53;56;206;315
165; KC Jatibarang (Konsolidasi MB);52;25;219;296
181; KC Cibadak (Konsolidasi MB);79;78;250;407
286; KC Bandung Dewi Sartika (Konsolidasi MB);323;327;848;1499
337; KC Bandung Naripan (Konsolidasi MB);187;253;596;1036
354; KC Bandung A.H. Nasution (Konsolidasi MB);328;200;697;1225
355; KC Pamanukan (Konsolidasi MB);66;83;219;368
389; KC Bandung Martadinata (Konsolidasi MB);163;114;544;821
401; KC Bandung Kopo (Konsolidasi MB);534;83;484;1101
405; KC Bandung Dago (Konsolidasi MB);346;160;558;1064
406; KC Cirebon Gunung Jati (Konsolidasi MB);118;79;326;523
407; KC Bandung Sukarno Hatta (Konsolidasi MB);202;161;414;778
408; KC Bandung Setiabudi (Konsolidasi MB);235;105;414;754
544; KC Soreang (Konsolidasi MB);91;80;262;433
