Row L;uker;Deposito;Giro;Tabungan;Grand Total
5; KC Bandung AA (Konsolidasi;347;302;976;1.626
25; KC Garut (Konsolidasi;150;105;461;717
28; KC Indramayu (Konsolidasi;106;74;410;591
46; KC Majalengka (Konsolidasi;47;97;221;366
75; KC Purwakarta (Konsolidasi;95;173;274;542
92; KC Sukabumi (Konsolidasi;74;79;324;477
94; KC Sumedang (Konsolidasi;72;68;358;498
100; KC Tasikmalaya (Konsolidasi;71;106;431;608
104; KC Ciamis (Konsolidasi;30;68;206;304
105; KC Cianjur (Konsolidasi;158;49;381;587
107; KC Cirebon Kartini (Konsolidasi;432;232;844;1.509
123; KC Subang (Konsolidasi;70;147;249;466
132; KC Majalaya (Konsolidasi;53;16;244;313
133; KC Kuningan (Konsolidasi;132;55;332;520
137; KC Cimahi (Konsolidasi;463;101;679;1.243
161; KC Singaparna (Konsolidasi;140;55;242;437
162; KC Banjar (Konsolidasi;53;55;207;315
165; KC Jatibarang (Konsolidasi;49;32;209;290
181; KC Cibadak (Konsolidasi;78;85;254;417
286; KC Bandung Dewi Sartika (Konsolidasi;324;286;861;1.471
337; KC Bandung Naripan (Konsolidasi;181;266;549;996
354; KC Bandung A.H. Nasution (Konsolidasi;311;192;700;1.204
355; KC Pamanukan (Konsolidasi;66;80;219;365
389; KC Bandung Martadinata (Konsolidasi;157;112;312;581
401; KC Bandung Kopo (Konsolidasi;248;89;366;703
405; KC Bandung Dago (Konsolidasi;353;157;523;1.033
406; KC Cirebon Gunung Jati (Konsolidasi;201;78;326;605
407; KC Bandung Sukarno Hatta (Konsolidasi;240;138;377;755
408; KC Bandung Setiabudi (Konsolidasi;223;111;371;705
544; KC Soreang (Konsolidasi;90;71;275;435
