Row L;uker; Deposito ; Giro ; Tabungan ; Grand Total 
5; KC Bandung AA (Konsolidasi; 347 ; 302 ; 982 ; 1.631 
25; KC Garut (Konsolidasi; 150 ; 105 ; 463 ; 718 
28; KC Indramayu (Konsolidasi; 106 ; 74 ; 403 ; 584 
46; KC Majalengka (Konsolidasi; 48 ; 95 ; 220 ; 363 
75; KC Purwakarta (Konsolidasi; 95 ; 183 ; 275 ; 553 
92; KC Sukabumi (Konsolidasi; 74 ; 85 ; 343 ; 502 
94; KC Sumedang (Konsolidasi; 72 ; 71 ; 357 ; 501 
100; KC Tasikmalaya (Konsolidasi; 71 ; 105 ; 431 ; 607 
104; KC Ciamis (Konsolidasi; 30 ; 68 ; 212 ; 310 
105; KC Cianjur (Konsolidasi; 158 ; 49 ; 381 ; 587 
107; KC Cirebon Kartini (Konsolidasi; 432 ; 228 ; 854 ; 1.514 
123; KC Subang (Konsolidasi; 70 ; 147 ; 247 ; 465 
132; KC Majalaya (Konsolidasi; 53 ; 17 ; 251 ; 320 
133; KC Kuningan (Konsolidasi; 132 ; 62 ; 330 ; 524 
137; KC Cimahi (Konsolidasi; 463 ; 98 ; 678 ; 1.238 
161; KC Singaparna (Konsolidasi; 140 ; 55 ; 241 ; 436 
162; KC Banjar (Konsolidasi; 53 ; 57 ; 207 ; 317 
165; KC Jatibarang (Konsolidasi; 51 ; 33 ; 209 ; 293 
181; KC Cibadak (Konsolidasi; 78 ; 89 ; 252 ; 419 
286; KC Bandung Dewi Sartika (Konsolidasi; 324 ; 287 ; 859 ; 1.470 
337; KC Bandung Naripan (Konsolidasi; 181 ; 270 ; 556 ; 1.006 
354; KC Bandung A.H. Nasution (Konsolidasi; 311 ; 192 ; 712 ; 1.216 
355; KC Pamanukan (Konsolidasi; 66 ; 72 ; 221 ; 358 
389; KC Bandung Martadinata (Konsolidasi; 158 ; 112 ; 316 ; 586 
401; KC Bandung Kopo (Konsolidasi; 299 ; 99 ; 444 ; 841 
405; KC Bandung Dago (Konsolidasi; 353 ; 168 ; 528 ; 1.049 
406; KC Cirebon Gunung Jati (Konsolidasi; 201 ; 79 ; 332 ; 611 
407; KC Bandung Sukarno Hatta (Konsolidasi; 240 ; 148 ; 377 ; 765 
408; KC Bandung Setiabudi (Konsolidasi; 223 ; 112 ; 391 ; 726 
544; KC Soreang (Konsolidasi; 90 ; 73 ; 277 ; 440 
