Row L;uker; Deposito ; Giro ; Tabungan ; Grand Total 
5; KC Bandung AA (Konsolidasi; 326 ; 299 ; 1.120 ; 1.745 
25; KC Garut (Konsolidasi; 150 ; 118 ; 471 ; 739 
28; KC Indramayu (Konsolidasi; 106 ; 77 ; 421 ; 604 
46; KC Majalengka (Konsolidasi; 47 ; 95 ; 225 ; 368 
75; KC Purwakarta (Konsolidasi; 99 ; 196 ; 283 ; 578 
92; KC Sukabumi (Konsolidasi; 73 ; 85 ; 394 ; 551 
94; KC Sumedang (Konsolidasi; 72 ; 73 ; 366 ; 510 
100; KC Tasikmalaya (Konsolidasi; 70 ; 120 ; 423 ; 614 
104; KC Ciamis (Konsolidasi; 30 ; 66 ; 210 ; 306 
105; KC Cianjur (Konsolidasi; 158 ; 50 ; 414 ; 622 
107; KC Cirebon Kartini (Konsolidasi; 431 ; 231 ; 884 ; 1.546 
123; KC Subang (Konsolidasi; 70 ; 142 ; 267 ; 479 
132; KC Majalaya (Konsolidasi; 53 ; 24 ; 252 ; 330 
133; KC Kuningan (Konsolidasi; 132 ; 60 ; 346 ; 539 
137; KC Cimahi (Konsolidasi; 458 ; 126 ; 730 ; 1.314 
161; KC Singaparna (Konsolidasi; 140 ; 59 ; 244 ; 443 
162; KC Banjar (Konsolidasi; 53 ; 61 ; 212 ; 326 
165; KC Jatibarang (Konsolidasi; 52 ; 35 ; 212 ; 299 
181; KC Cibadak (Konsolidasi; 77 ; 102 ; 257 ; 437 
286; KC Bandung Dewi Sartika (Konsolidasi; 330 ; 266 ; 890 ; 1.486 
337; KC Bandung Naripan (Konsolidasi; 188 ; 249 ; 597 ; 1.034 
354; KC Bandung A.H. Nasution (Konsolidasi; 333 ; 202 ; 809 ; 1.343 
355; KC Pamanukan (Konsolidasi; 66 ; 119 ; 208 ; 392 
389; KC Bandung Martadinata (Konsolidasi; 159 ; 102 ; 573 ; 834 
401; KC Bandung Kopo (Konsolidasi; 349 ; 91 ; 384 ; 824 
405; KC Bandung Dago (Konsolidasi; 353 ; 214 ; 639 ; 1.207 
406; KC Cirebon Gunung Jati (Konsolidasi; 167 ; 76 ; 363 ; 607 
407; KC Bandung Sukarno Hatta (Konsolidasi; 237 ; 133 ; 515 ; 884 
408; KC Bandung Setiabudi (Konsolidasi; 225 ; 99 ; 412 ; 735 
544; KC Soreang (Konsolidasi; 90 ; 80 ; 284 ; 454 
