Row L;uker;Deposito;Giro;Tabungan;Grand Total
5; KC Bandung AA (Konsolidasi MB);323;274;1090;1688
25; KC Garut (Konsolidasi MB);152;113;471;736
28; KC Indramayu (Konsolidasi MB);106;79;433;618
46; KC Majalengka (Konsolidasi MB);48;98;224;371
75; KC Purwakarta (Konsolidasi MB);94;198;288;580
92; KC Sukabumi (Konsolidasi MB);72;91;353;516
94; KC Sumedang (Konsolidasi MB);72;61;370;504
100; KC Tasikmalaya (Konsolidasi MB);76;111;441;627
104; KC Ciamis (Konsolidasi MB);33;72;208;314
105; KC Cianjur (Konsolidasi MB);149;53;418;620
107; KC Cirebon Kartini (Konsolidasi MB);431;245;826;1502
123; KC Subang (Konsolidasi MB);71;142;277;490
132; KC Majalaya (Konsolidasi MB);56;17;255;327
133; KC Kuningan (Konsolidasi MB);131;68;346;545
137; KC Cimahi (Konsolidasi MB);468;127;756;1351
161; KC Singaparna (Konsolidasi MB);141;56;253;450
162; KC Banjar (Konsolidasi MB);53;61;209;323
165; KC Jatibarang (Konsolidasi MB);52;32;226;309
181; KC Cibadak (Konsolidasi MB);79;73;263;415
286; KC Bandung Dewi Sartika (Konsolidasi MB);324;378;920;1621
337; KC Bandung Naripan (Konsolidasi MB);186;245;607;1038
354; KC Bandung A.H. Nasution (Konsolidasi MB);331;211;728;1269
355; KC Pamanukan (Konsolidasi MB);66;99;222;386
389; KC Bandung Martadinata (Konsolidasi MB);163;117;560;839
401; KC Bandung Kopo (Konsolidasi MB);558;88;432;1078
405; KC Bandung Dago (Konsolidasi MB);346;168;649;1162
406; KC Cirebon Gunung Jati (Konsolidasi MB);118;80;394;591
407; KC Bandung Sukarno Hatta (Konsolidasi MB);201;167;459;826
408; KC Bandung Setiabudi (Konsolidasi MB);231;105;434;771
544; KC Soreang (Konsolidasi MB);91;79;283;453
