Row Labels;Row Labels; Deposito ; Giro ; Tabungan ; Grand Total 
5;00005 -- KC Bandung AA (Konsolidasi-MB); 252 ; 363 ; 1.187 ; 1.802 
25;00025 -- KC Garut (Konsolidasi-MB); 91 ; 95 ; 495 ; 681 
28;00028 -- KC Indramayu (Konsolidasi-MB); 102 ; 94 ; 446 ; 643 
46;00046 -- KC Majalengka (Konsolidasi-MB); 50 ; 52 ; 279 ; 381 
75;00075 -- KC Purwakarta (Konsolidasi-MB); 100 ; 184 ; 293 ; 577 
92;00092 -- KC Sukabumi (Konsolidasi-MB); 68 ; 83 ; 382 ; 533 
94;00094 -- KC Sumedang (Konsolidasi-MB); 85 ; 55 ; 364 ; 504 
100;00100 -- KC Tasikmalaya (Konsolidasi-MB); 77 ; 137 ; 457 ; 671 
104;00104 -- KC Ciamis (Konsolidasi-MB); 31 ; 56 ; 228 ; 316 
105;00105 -- KC Cianjur (Konsolidasi-MB); 234 ; 52 ; 415 ; 702 
107;00107 -- KC Cirebon Kartini (Konsolidasi-MB); 433 ; 234 ; 1.086 ; 1.752 
123;00123 -- KC Subang (Konsolidasi-MB); 69 ; 175 ; 289 ; 533 
132;00132 -- KC Majalaya (Konsolidasi-MB); 207 ; 33 ; 267 ; 507 
133;00133 -- KC Kuningan (Konsolidasi-MB); 147 ; 66 ; 363 ; 577 
137;00137 -- KC Cimahi (Konsolidasi-MB); 430 ; 104 ; 766 ; 1.300 
161;00161 -- KC Singaparna (Konsolidasi-MB); 130 ; 61 ; 259 ; 451 
162;00162 -- KC Banjar (Konsolidasi-MB); 49 ; 61 ; 228 ; 338 
165;00165 -- KC Jatibarang (Konsolidasi-MB); 50 ; 43 ; 216 ; 310 
181;00181 -- KC Cibadak (Konsolidasi-MB); 80 ; 75 ; 288 ; 442 
198;00198 -- KANWIL Bandung (Konsolidasi-MB);;; -   ; -   
286;00286 -- KC Bandung Dewi Sartika (Konsolidasi-MB); 311 ; 278 ; 983 ; 1.572 
337;00337 -- KC Bandung Naripan (Konsolidasi-MB); 181 ; 218 ; 579 ; 979 
354;00354 -- KC Bandung A.H. Nasution (Konsolidasi-MB); 347 ; 183 ; 869 ; 1.399 
355;00355 -- KC Pamanukan (Konsolidasi-MB); 61 ; 93 ; 215 ; 368 
389;00389 -- KC Bandung Martadinata (Konsolidasi-MB); 161 ; 393 ; 347 ; 902 
401;00401 -- KC Bandung Kopo (Konsolidasi-MB); 535 ; 130 ; 422 ; 1.087 
405;00405 -- KC Bandung Dago (Konsolidasi-MB); 323 ; 209 ; 610 ; 1.142 
406;00406 -- KC Cirebon Gunung Jati (Konsolidasi-MB); 100 ; 78 ; 412 ; 590 
407;00407 -- KC Bandung Sukarno Hatta (Konsolidasi-MB); 258 ; 150 ; 465 ; 873 
408;00408 -- KC Bandung Setiabudi (Konsolidasi-MB); 219 ; 89 ; 416 ; 723 
544;00544 -- KC Soreang (Konsolidasi-MB); 88 ; 49 ; 287 ; 424 
Grand Total;Grand Total; 5.269 ; 3.894 ; 13.916 ; 23.078 
