Row Labels;uker; Deposito ; Giro ; Tabungan ; Grand Total 
5; KC Bandung AA (Konsolidasi-MB); 253 ; 350 ; 1.106 ; 1.710 
25; KC Garut (Konsolidasi-MB); 94 ; 95 ; 499 ; 688 
28; KC Indramayu (Konsolidasi-MB); 102 ; 93 ; 426 ; 622 
46; KC Majalengka (Konsolidasi-MB); 50 ; 53 ; 252 ; 354 
75; KC Purwakarta (Konsolidasi-MB); 99 ; 191 ; 267 ; 557 
92; KC Sukabumi (Konsolidasi-MB); 67 ; 77 ; 343 ; 487 
94; KC Sumedang (Konsolidasi-MB); 90 ; 55 ; 341 ; 486 
100; KC Tasikmalaya (Konsolidasi-MB); 78 ; 136 ; 459 ; 673 
104; KC Ciamis (Konsolidasi-MB); 29 ; 55 ; 228 ; 312 
105; KC Cianjur (Konsolidasi-MB); 231 ; 53 ; 391 ; 675 
107; KC Cirebon Kartini (Konsolidasi-MB); 440 ; 238 ; 976 ; 1.654 
123; KC Subang (Konsolidasi-MB); 68 ; 165 ; 266 ; 499 
132; KC Majalaya (Konsolidasi-MB); 47 ; 22 ; 252 ; 320 
133; KC Kuningan (Konsolidasi-MB); 148 ; 58 ; 322 ; 527 
137; KC Cimahi (Konsolidasi-MB); 423 ; 108 ; 722 ; 1.253 
161; KC Singaparna (Konsolidasi-MB); 129 ; 65 ; 256 ; 450 
162; KC Banjar (Konsolidasi-MB); 49 ; 57 ; 233 ; 339 
165; KC Jatibarang (Konsolidasi-MB); 51 ; 30 ; 210 ; 291 
181; KC Cibadak (Konsolidasi-MB); 79 ; 64 ; 277 ; 420 
198; KANWIL Bandung (Konsolidasi-MB);;; -   ; -   
286; KC Bandung Dewi Sartika (Konsolidasi-MB); 315 ; 253 ; 854 ; 1.422 
337; KC Bandung Naripan (Konsolidasi-MB); 178 ; 213 ; 527 ; 917 
354; KC Bandung A.H. Nasution (Konsolidasi-MB); 338 ; 176 ; 789 ; 1.303 
355; KC Pamanukan (Konsolidasi-MB); 60 ; 87 ; 217 ; 365 
389; KC Bandung Martadinata (Konsolidasi-MB); 164 ; 367 ; 337 ; 867 
401; KC Bandung Kopo (Konsolidasi-MB); 634 ; 150 ; 432 ; 1.215 
405; KC Bandung Dago (Konsolidasi-MB); 326 ; 247 ; 565 ; 1.138 
406; KC Cirebon Gunung Jati (Konsolidasi-MB); 100 ; 70 ; 354 ; 525 
407; KC Bandung Sukarno Hatta (Konsolidasi-MB); 255 ; 160 ; 389 ; 804 
408; KC Bandung Setiabudi (Konsolidasi-MB); 219 ; 85 ; 367 ; 672 
544; KC Soreang (Konsolidasi-MB); 86 ; 42 ; 270 ; 398 
Grand Total;Grand Total; 5.203 ; 3.818 ; 12.924 ; 21.945 
