Row Labels;Row Labels; Deposito ; Giro ; Tabungan ; Grand Total 
5; KC Bandung AA (Konsolidasi-MB); 253 ; 360 ; 1.097 ; 1.709 
25; KC Garut (Konsolidasi-MB); 94 ; 94 ; 495 ; 683 
28; KC Indramayu (Konsolidasi-MB); 102 ; 90 ; 420 ; 611 
46; KC Majalengka (Konsolidasi-MB); 50 ; 55 ; 251 ; 356 
75; KC Purwakarta (Konsolidasi-MB); 99 ; 197 ; 266 ; 562 
92; KC Sukabumi (Konsolidasi-MB); 67 ; 78 ; 321 ; 466 
94; KC Sumedang (Konsolidasi-MB); 90 ; 57 ; 341 ; 488 
100; KC Tasikmalaya (Konsolidasi-MB); 79 ; 122 ; 453 ; 654 
104; KC Ciamis (Konsolidasi-MB); 29 ; 54 ; 225 ; 308 
105; KC Cianjur (Konsolidasi-MB); 143 ; 58 ; 383 ; 584 
107; KC Cirebon Kartini (Konsolidasi-MB); 436 ; 228 ; 982 ; 1.646 
123; KC Subang (Konsolidasi-MB); 68 ; 165 ; 267 ; 499 
132; KC Majalaya (Konsolidasi-MB); 46 ; 19 ; 251 ; 315 
133; KC Kuningan (Konsolidasi-MB); 148 ; 62 ; 316 ; 526 
137; KC Cimahi (Konsolidasi-MB); 424 ; 101 ; 714 ; 1.239 
161; KC Singaparna (Konsolidasi-MB); 129 ; 66 ; 253 ; 448 
162; KC Banjar (Konsolidasi-MB); 49 ; 60 ; 233 ; 342 
165; KC Jatibarang (Konsolidasi-MB); 50 ; 32 ; 203 ; 285 
181; KC Cibadak (Konsolidasi-MB); 79 ; 65 ; 277 ; 421 
286; KC Bandung Dewi Sartika (Konsolidasi-MB); 317 ; 252 ; 853 ; 1.421 
337; KC Bandung Naripan (Konsolidasi-MB); 178 ; 219 ; 524 ; 921 
354; KC Bandung A.H. Nasution (Konsolidasi-MB); 338 ; 171 ; 783 ; 1.293 
355; KC Pamanukan (Konsolidasi-MB); 60 ; 89 ; 214 ; 363 
389; KC Bandung Martadinata (Konsolidasi-MB); 163 ; 410 ; 335 ; 909 
401; KC Bandung Kopo (Konsolidasi-MB); 633 ; 119 ; 378 ; 1.130 
405; KC Bandung Dago (Konsolidasi-MB); 326 ; 248 ; 535 ; 1.109 
406; KC Cirebon Gunung Jati (Konsolidasi-MB); 100 ; 71 ; 344 ; 514 
407; KC Bandung Sukarno Hatta (Konsolidasi-MB); 255 ; 153 ; 387 ; 794 
408; KC Bandung Setiabudi (Konsolidasi-MB); 219 ; 87 ; 359 ; 666 
544; KC Soreang (Konsolidasi-MB); 86 ; 44 ; 268 ; 397 
Grand Total;Grand Total; 5.112 ; 3.823 ; 12.725 ; 21.660 
