Row Labels;Row Labels; Deposito ; Giro ; Tabungan ; Grand Total 
5; KC Bandung AA (Konsolidasi-MB); 253 ; 357 ; 1.094 ; 1.704 
25; KC Garut (Konsolidasi-MB); 94 ; 88 ; 499 ; 682 
28; KC Indramayu (Konsolidasi-MB); 102 ; 82 ; 424 ; 608 
46; KC Majalengka (Konsolidasi-MB); 49 ; 53 ; 249 ; 352 
75; KC Purwakarta (Konsolidasi-MB); 99 ; 181 ; 268 ; 548 
92; KC Sukabumi (Konsolidasi-MB); 67 ; 80 ; 320 ; 467 
94; KC Sumedang (Konsolidasi-MB); 90 ; 57 ; 343 ; 490 
100; KC Tasikmalaya (Konsolidasi-MB); 79 ; 121 ; 456 ; 657 
104; KC Ciamis (Konsolidasi-MB); 29 ; 52 ; 226 ; 307 
105; KC Cianjur (Konsolidasi-MB); 143 ; 57 ; 385 ; 585 
107; KC Cirebon Kartini (Konsolidasi-MB); 436 ; 216 ; 918 ; 1.570 
123; KC Subang (Konsolidasi-MB); 68 ; 165 ; 266 ; 499 
132; KC Majalaya (Konsolidasi-MB); 46 ; 19 ; 250 ; 315 
133; KC Kuningan (Konsolidasi-MB); 148 ; 62 ; 313 ; 522 
137; KC Cimahi (Konsolidasi-MB); 371 ; 101 ; 771 ; 1.243 
161; KC Singaparna (Konsolidasi-MB); 128 ; 64 ; 250 ; 442 
162; KC Banjar (Konsolidasi-MB); 49 ; 62 ; 235 ; 345 
165; KC Jatibarang (Konsolidasi-MB); 50 ; 40 ; 206 ; 297 
181; KC Cibadak (Konsolidasi-MB); 79 ; 53 ; 287 ; 420 
286; KC Bandung Dewi Sartika (Konsolidasi-MB); 316 ; 251 ; 878 ; 1.445 
337; KC Bandung Naripan (Konsolidasi-MB); 177 ; 220 ; 520 ; 916 
354; KC Bandung A.H. Nasution (Konsolidasi-MB); 334 ; 170 ; 785 ; 1.288 
355; KC Pamanukan (Konsolidasi-MB); 60 ; 87 ; 217 ; 364 
389; KC Bandung Martadinata (Konsolidasi-MB); 163 ; 414 ; 334 ; 911 
401; KC Bandung Kopo (Konsolidasi-MB); 633 ; 98 ; 379 ; 1.110 
405; KC Bandung Dago (Konsolidasi-MB); 326 ; 248 ; 536 ; 1.110 
406; KC Cirebon Gunung Jati (Konsolidasi-MB); 99 ; 82 ; 346 ; 527 
407; KC Bandung Sukarno Hatta (Konsolidasi-MB); 255 ; 145 ; 386 ; 786 
408; KC Bandung Setiabudi (Konsolidasi-MB); 220 ; 85 ; 361 ; 666 
544; KC Soreang (Konsolidasi-MB); 86 ; 42 ; 264 ; 393 
Grand Total;Grand Total; 5.054 ; 3.752 ; 12.763 ; 21.568 
