Row L;uker; Deposito ; Giro ; Tabungan ; Grand Total 
5; KC Bandung AA (Konsolidasi-MB); 252 ; 368 ; 1.178 ; 1.797 
25; KC Garut (Konsolidasi-MB); 91 ; 99 ; 481 ; 672 
28; KC Indramayu (Konsolidasi-MB); 102 ; 95 ; 444 ; 642 
46; KC Majalengka (Konsolidasi-MB); 50 ; 53 ; 276 ; 378 
75; KC Purwakarta (Konsolidasi-MB); 100 ; 184 ; 288 ; 572 
92; KC Sukabumi (Konsolidasi-MB); 68 ; 82 ; 379 ; 529 
94; KC Sumedang (Konsolidasi-MB); 85 ; 56 ; 360 ; 501 
100; KC Tasikmalaya (Konsolidasi-MB); 76 ; 137 ; 458 ; 671 
104; KC Ciamis (Konsolidasi-MB); 31 ; 54 ; 228 ; 313 
105; KC Cianjur (Konsolidasi-MB); 234 ; 52 ; 410 ; 696 
107; KC Cirebon Kartini (Konsolidasi-MB); 433 ; 234 ; 1.082 ; 1.748 
123; KC Subang (Konsolidasi-MB); 69 ; 175 ; 284 ; 527 
132; KC Majalaya (Konsolidasi-MB); 207 ; 34 ; 267 ; 507 
133; KC Kuningan (Konsolidasi-MB); 147 ; 67 ; 362 ; 576 
137; KC Cimahi (Konsolidasi-MB); 430 ; 104 ; 759 ; 1.293 
161; KC Singaparna (Konsolidasi-MB); 130 ; 61 ; 257 ; 449 
162; KC Banjar (Konsolidasi-MB); 49 ; 62 ; 226 ; 336 
165; KC Jatibarang (Konsolidasi-MB); 50 ; 44 ; 214 ; 308 
181; KC Cibadak (Konsolidasi-MB); 80 ; 76 ; 282 ; 438 
286; KC Bandung Dewi Sartika (Konsolidasi-MB); 310 ; 282 ; 980 ; 1.572 
337; KC Bandung Naripan (Konsolidasi-MB); 181 ; 216 ; 576 ; 973 
354; KC Bandung A.H. Nasution (Konsolidasi-MB); 347 ; 182 ; 867 ; 1.395 
355; KC Pamanukan (Konsolidasi-MB); 61 ; 93 ; 214 ; 368 
389; KC Bandung Martadinata (Konsolidasi-MB); 161 ; 386 ; 345 ; 892 
401; KC Bandung Kopo (Konsolidasi-MB); 535 ; 134 ; 420 ; 1.089 
405; KC Bandung Dago (Konsolidasi-MB); 322 ; 211 ; 606 ; 1.139 
406; KC Cirebon Gunung Jati (Konsolidasi-MB); 99 ; 78 ; 409 ; 586 
407; KC Bandung Sukarno Hatta (Konsolidasi-MB); 258 ; 152 ; 462 ; 872 
408; KC Bandung Setiabudi (Konsolidasi-MB); 219 ; 86 ; 412 ; 716 
544; KC Soreang (Konsolidasi-MB); 88 ; 49 ; 287 ; 424 
Grand Total;Grand Total; 5.265 ; 3.905 ; 13.811 ; 22.980 
