Row L;uker; Deposito ; Giro ; Tabungan ; Grand Total 
5; KC Bandung AA (Konsolidasi; 347 ; 301 ; 979 ; 1.627 
25; KC Garut (Konsolidasi; 150 ; 107 ; 461 ; 718 
28; KC Indramayu (Konsolidasi; 106 ; 77 ; 402 ; 585 
46; KC Majalengka (Konsolidasi; 48 ; 94 ; 220 ; 362 
75; KC Purwakarta (Konsolidasi; 95 ; 183 ; 273 ; 551 
92; KC Sukabumi (Konsolidasi; 74 ; 87 ; 341 ; 502 
94; KC Sumedang (Konsolidasi; 72 ; 65 ; 355 ; 493 
100; KC Tasikmalaya (Konsolidasi; 71 ; 105 ; 431 ; 607 
104; KC Ciamis (Konsolidasi; 30 ; 68 ; 210 ; 308 
105; KC Cianjur (Konsolidasi; 158 ; 46 ; 378 ; 582 
107; KC Cirebon Kartini (Konsolidasi; 432 ; 232 ; 853 ; 1.516 
123; KC Subang (Konsolidasi; 69 ; 147 ; 247 ; 463 
132; KC Majalaya (Konsolidasi; 53 ; 17 ; 248 ; 318 
133; KC Kuningan (Konsolidasi; 132 ; 62 ; 329 ; 524 
137; KC Cimahi (Konsolidasi; 463 ; 99 ; 675 ; 1.236 
161; KC Singaparna (Konsolidasi; 140 ; 55 ; 241 ; 436 
162; KC Banjar (Konsolidasi; 53 ; 57 ; 207 ; 317 
165; KC Jatibarang (Konsolidasi; 51 ; 33 ; 209 ; 293 
181; KC Cibadak (Konsolidasi; 78 ; 93 ; 251 ; 422 
286; KC Bandung Dewi Sartika (Konsolidasi; 324 ; 292 ; 857 ; 1.473 
337; KC Bandung Naripan (Konsolidasi; 181 ; 267 ; 557 ; 1.005 
354; KC Bandung A.H. Nasution (Konsolidasi; 311 ; 193 ; 708 ; 1.211 
355; KC Pamanukan (Konsolidasi; 66 ; 71 ; 218 ; 356 
389; KC Bandung Martadinata (Konsolidasi; 159 ; 118 ; 314 ; 591 
401; KC Bandung Kopo (Konsolidasi; 299 ; 102 ; 443 ; 844 
405; KC Bandung Dago (Konsolidasi; 353 ; 168 ; 526 ; 1.047 
406; KC Cirebon Gunung Jati (Konsolidasi; 201 ; 82 ; 328 ; 611 
407; KC Bandung Sukarno Hatta (Konsolidasi; 240 ; 155 ; 376 ; 771 
408; KC Bandung Setiabudi (Konsolidasi; 223 ; 112 ; 389 ; 724 
544; KC Soreang (Konsolidasi; 90 ; 72 ; 276 ; 438 
