Row Labels;uker; Deposito ; Giro ; Tabungan ; Grand Total 
5; KC Bandung AA (Konsolidasi-MB); 612 ; 342 ; 1.188 ; 2.142 
25; KC Garut (Konsolidasi-MB); 105 ; 89 ; 506 ; 700 
28; KC Indramayu (Konsolidasi-MB); 103 ; 108 ; 410 ; 621 
46; KC Majalengka (Konsolidasi-MB); 63 ; 41 ; 247 ; 351 
75; KC Purwakarta (Konsolidasi-MB); 84 ; 81 ; 278 ; 444 
92; KC Sukabumi (Konsolidasi-MB); 64 ; 90 ; 347 ; 501 
94; KC Sumedang (Konsolidasi-MB); 88 ; 69 ; 345 ; 502 
100; KC Tasikmalaya (Konsolidasi-MB); 93 ; 116 ; 441 ; 649 
104; KC Ciamis (Konsolidasi-MB); 51 ; 55 ; 228 ; 334 
105; KC Cianjur (Konsolidasi-MB); 157 ; 66 ; 418 ; 641 
107; KC Cirebon Kartini (Konsolidasi-MB); 526 ; 213 ; 1.059 ; 1.799 
123; KC Subang (Konsolidasi-MB); 72 ; 156 ; 246 ; 474 
132; KC Majalaya (Konsolidasi-MB); 97 ; 70 ; 268 ; 435 
133; KC Kuningan (Konsolidasi-MB); 173 ; 70 ; 368 ; 612 
137; KC Cimahi (Konsolidasi-MB); 369 ; 401 ; 1.186 ; 1.956 
161; KC Singaparna (Konsolidasi-MB); 126 ; 45 ; 236 ; 407 
162; KC Banjar (Konsolidasi-MB); 50 ; 52 ; 222 ; 324 
165; KC Jatibarang (Konsolidasi-MB); 49 ; 36 ; 215 ; 300 
181; KC Cibadak (Konsolidasi-MB); 79 ; 83 ; 276 ; 438 
198; KANWIL Bandung (Konsolidasi-MB); -   ; -   ; 0 ; 0 
286; KC Bandung Dewi Sartika (Konsolidasi-MB); 1.162 ; 325 ; 1.088 ; 2.575 
337; KC Bandung Naripan (Konsolidasi-MB); 229 ; 256 ; 483 ; 968 
354; KC Bandung A.H. Nasution (Konsolidasi-MB); 516 ; 239 ; 761 ; 1.517 
355; KC Pamanukan (Konsolidasi-MB); 64 ; 129 ; 206 ; 399 
389; KC Bandung Martadinata (Konsolidasi-MB); 455 ; 168 ; 314 ; 937 
401; KC Bandung Kopo (Konsolidasi-MB); 551 ; 217 ; 465 ; 1.232 
405; KC Bandung Dago (Konsolidasi-MB); 389 ; 260 ; 583 ; 1.232 
406; KC Cirebon Gunung Jati (Konsolidasi-MB); 141 ; 88 ; 380 ; 609 
407; KC Bandung Sukarno Hatta (Konsolidasi-MB); 471 ; 227 ; 422 ; 1.120 
408; KC Bandung Setiabudi (Konsolidasi-MB); 230 ; 93 ; 402 ; 726 
544; KC Soreang (Konsolidasi-MB); 102 ; 43 ; 281 ; 426 
Grand Total;Grand Total; 7.271 ; 4.229 ; 13.870 ; 25.370 
