ROW L;UKER; Deposito ; Giro ; Tabungan ; Grand Total 
25; KC Garut (Konsolidasi; 91 ; 89 ; 464 ; 644 
28; KC Indramayu (Konsolidasi; 102 ; 92 ; 432 ; 626 
46; KC Majalengka (Konsolidasi; 49 ; 54 ; 278 ; 381 
75; KC Purwakarta (Konsolidasi; 100 ; 181 ; 275 ; 555 
92; KC Sukabumi (Konsolidasi; 72 ; 93 ; 332 ; 496 
94; KC Sumedang (Konsolidasi; 85 ; 59 ; 333 ; 476 
100; KC Tasikmalaya (Konsolidasi; 78 ; 159 ; 441 ; 678 
104; KC Ciamis (Konsolidasi; 31 ; 54 ; 222 ; 307 
105; KC Cianjur (Konsolidasi; 239 ; 52 ; 392 ; 683 
107; KC Cirebon Kartini (Konsolidasi; 433 ; 238 ; 965 ; 1.636 
123; KC Subang (Konsolidasi; 68 ; 172 ; 259 ; 499 
132; KC Majalaya (Konsolidasi; 206 ; 22 ; 260 ; 488 
133; KC Kuningan (Konsolidasi; 147 ; 56 ; 329 ; 531 
137; KC Cimahi (Konsolidasi; 432 ; 103 ; 702 ; 1.237 
161; KC Singaparna (Konsolidasi; 130 ; 62 ; 254 ; 446 
162; KC Banjar (Konsolidasi; 49 ; 50 ; 222 ; 321 
165; KC Jatibarang (Konsolidasi; 51 ; 41 ; 213 ; 305 
181; KC Cibadak (Konsolidasi; 79 ; 67 ; 272 ; 418 
286; KC Bandung Dewi Sartika (Konsolidasi; 311 ; 266 ; 847 ; 1.424 
337; KC Bandung Naripan (Konsolidasi; 177 ; 224 ; 551 ; 953 
354; KC Bandung A.H. Nasution (Konsolidasi; 346 ; 192 ; 792 ; 1.330 
355; KC Pamanukan (Konsolidasi; 62 ; 94 ; 214 ; 370 
389; KC Bandung Martadinata (Konsolidasi; 161 ; 374 ; 314 ; 849 
401; KC Bandung Kopo (Konsolidasi; 499 ; 128 ; 415 ; 1.042 
405; KC Bandung Dago (Konsolidasi; 322 ; 204 ; 547 ; 1.074 
406; KC Cirebon Gunung Jati (Konsolidasi; 103 ; 77 ; 361 ; 542 
407; KC Bandung Sukarno Hatta (Konsolidasi; 239 ; 135 ; 372 ; 746 
408; KC Bandung Setiabudi (Konsolidasi; 218 ; 95 ; 380 ; 692 
544; KC Soreang (Konsolidasi; 87 ; 62 ; 255 ; 403 
5; KC Bandung AA (Konsolidasi; 322 ; 375 ; 1.064 ; 1.761 
