Row L;UKER; Deposito ; Giro ; Tabungan ; Grand Total 
5; KC Bandung AA (Konsolidasi; 321 ; 376 ; 1.044 ; 1.742 
25; KC Garut (Konsolidasi; 90 ; 90 ; 458 ; 638 
28; KC Indramayu (Konsolidasi; 102 ; 83 ; 426 ; 611 
46; KC Majalengka (Konsolidasi; 49 ; 55 ; 277 ; 381 
75; KC Purwakarta (Konsolidasi; 99 ; 180 ; 278 ; 558 
92; KC Sukabumi (Konsolidasi; 72 ; 87 ; 312 ; 471 
94; KC Sumedang (Konsolidasi; 85 ; 59 ; 351 ; 494 
100; KC Tasikmalaya (Konsolidasi; 78 ; 153 ; 441 ; 672 
104; KC Ciamis (Konsolidasi; 31 ; 55 ; 222 ; 308 
105; KC Cianjur (Konsolidasi; 231 ; 55 ; 397 ; 683 
107; KC Cirebon Kartini (Konsolidasi; 433 ; 226 ; 946 ; 1.604 
123; KC Subang (Konsolidasi; 68 ; 173 ; 257 ; 499 
132; KC Majalaya (Konsolidasi; 206 ; 22 ; 260 ; 487 
133; KC Kuningan (Konsolidasi; 147 ; 65 ; 333 ; 545 
137; KC Cimahi (Konsolidasi; 432 ; 115 ; 709 ; 1.255 
161; KC Singaparna (Konsolidasi; 130 ; 64 ; 250 ; 445 
162; KC Banjar (Konsolidasi; 49 ; 53 ; 220 ; 321 
165; KC Jatibarang (Konsolidasi; 50 ; 42 ; 212 ; 304 
181; KC Cibadak (Konsolidasi; 80 ; 61 ; 264 ; 405 
286; KC Bandung Dewi Sartika (Konsolidasi; 311 ; 323 ; 837 ; 1.471 
337; KC Bandung Naripan (Konsolidasi; 178 ; 230 ; 556 ; 963 
354; KC Bandung A.H. Nasution (Konsolidasi; 347 ; 197 ; 824 ; 1.368 
355; KC Pamanukan (Konsolidasi; 62 ; 108 ; 214 ; 385 
389; KC Bandung Martadinata (Konsolidasi; 161 ; 379 ; 332 ; 872 
401; KC Bandung Kopo (Konsolidasi; 499 ; 95 ; 418 ; 1.012 
405; KC Bandung Dago (Konsolidasi; 321 ; 201 ; 543 ; 1.065 
406; KC Cirebon Gunung Jati (Konsolidasi; 101 ; 75 ; 374 ; 550 
407; KC Bandung Sukarno Hatta (Konsolidasi; 239 ; 122 ; 372 ; 733 
408; KC Bandung Setiabudi (Konsolidasi; 218 ; 94 ; 390 ; 702 
544; KC Soreang (Konsolidasi; 87 ; 62 ; 260 ; 408 
Grand Total;; 5.278 ; 3.899 ; 12.776 ; 21.953 
