Rows L;uker;Deposito;Giro;Tabungan;Grand Total
5; KC Bandung AA (Konsolidasi;359;259;971;1.589
25; KC Garut (Konsolidasi;151;106;472;729
28; KC Indramayu (Konsolidasi;112;74;397;583
46; KC Majalengka (Konsolidasi;49;94;217;360
75; KC Purwakarta (Konsolidasi;90;163;284;538
92; KC Sukabumi (Konsolidasi;72;87;325;483
94; KC Sumedang (Konsolidasi;71;62;360;493
100; KC Tasikmalaya (Konsolidasi;75;102;417;594
104; KC Ciamis (Konsolidasi;32;68;208;308
105; KC Cianjur (Konsolidasi;159;53;375;587
107; KC Cirebon Kartini (Konsolidasi;431;242;732;1.405
123; KC Subang (Konsolidasi;71;129;251;452
132; KC Majalaya (Konsolidasi;56;30;240;326
133; KC Kuningan (Konsolidasi;132;63;332;527
137; KC Cimahi (Konsolidasi;473;107;700;1.279
161; KC Singaparna (Konsolidasi;142;48;249;440
162; KC Banjar (Konsolidasi;53;65;208;326
165; KC Jatibarang (Konsolidasi;52;26;207;285
181; KC Cibadak (Konsolidasi;79;72;243;394
286; KC Bandung Dewi Sartika (Konsolidasi;324;277;813;1.414
337; KC Bandung Naripan (Konsolidasi;180;252;571;1.004
354; KC Bandung A.H. Nasution (Konsolidasi;328;196;697;1.221
355; KC Pamanukan (Konsolidasi;66;88;217;371
389; KC Bandung Martadinata (Konsolidasi;164;112;523;799
401; KC Bandung Kopo (Konsolidasi;534;79;487;1.100
405; KC Bandung Dago (Konsolidasi;347;147;528;1.022
406; KC Cirebon Gunung Jati (Konsolidasi;117;79;337;533
407; KC Bandung Sukarno Hatta (Konsolidasi;202;160;386;747
408; KC Bandung Setiabudi (Konsolidasi;236;105;396;738
544; KC Soreang (Konsolidasi;91;82;265;437
