kode bo;nama bo; Deposito ; Giro ; Tabungan ; Grand Total 
5; KC Bandung AA (Konsolidasi; 369 ; 370 ; 1.120 ; 1.859 
25; KC Garut (Konsolidasi; 90 ; 112 ; 558 ; 760 
28; KC Indramayu (Konsolidasi; 105 ; 80 ; 444 ; 630 
46; KC Majalengka (Konsolidasi; 45 ; 91 ; 238 ; 374 
75; KC Purwakarta (Konsolidasi; 97 ; 169 ; 288 ; 554 
92; KC Sukabumi (Konsolidasi; 70 ; 81 ; 665 ; 816 
94; KC Sumedang (Konsolidasi; 71 ; 68 ; 401 ; 540 
100; KC Tasikmalaya (Konsolidasi; 72 ; 110 ; 495 ; 677 
104; KC Ciamis (Konsolidasi; 29 ; 55 ; 277 ; 362 
105; KC Cianjur (Konsolidasi; 157 ; 45 ; 2.675 ; 2.876 
107; KC Cirebon Kartini (Konsolidasi; 430 ; 213 ; 1.038 ; 1.682 
123; KC Subang (Konsolidasi; 70 ; 167 ; 257 ; 493 
132; KC Majalaya (Konsolidasi; 205 ; 21 ; 256 ; 482 
133; KC Kuningan (Konsolidasi; 135 ; 53 ; 319 ; 507 
137; KC Cimahi (Konsolidasi; 447 ; 90 ; 791 ; 1.328 
161; KC Singaparna (Konsolidasi; 138 ; 56 ; 244 ; 438 
162; KC Banjar (Konsolidasi; 52 ; 44 ; 310 ; 405 
165; KC Jatibarang (Konsolidasi; 52 ; 35 ; 288 ; 376 
181; KC Cibadak (Konsolidasi; 76 ; 96 ; 277 ; 449 
286; KC Bandung Dewi Sartika (Konsolidasi; 309 ; 251 ; 928 ; 1.488 
337; KC Bandung Naripan (Konsolidasi; 176 ; 235 ; 618 ; 1.029 
354; KC Bandung A.H. Nasution (Konsolidasi; 340 ; 172 ; 814 ; 1.326 
355; KC Pamanukan (Konsolidasi; 65 ; 89 ; 346 ; 500 
389; KC Bandung Martadinata (Konsolidasi; 159 ; 225 ; 378 ; 762 
401; KC Bandung Kopo (Konsolidasi; 275 ; 97 ; 397 ; 770 
405; KC Bandung Dago (Konsolidasi; 339 ; 218 ; 581 ; 1.137 
406; KC Cirebon Gunung Jati (Konsolidasi; 106 ; 70 ; 403 ; 579 
407; KC Bandung Sukarno Hatta (Konsolidasi; 238 ; 131 ; 413 ; 781 
408; KC Bandung Setiabudi (Konsolidasi; 227 ; 93 ; 379 ; 699 
544; KC Soreang (Konsolidasi; 88 ; 62 ; 285 ; 435 
