Row L;uker;Deposito;Giro;Tabungan;Grand Total
5; KC Bandung AA (Konsolidasi;347;289;979;1.615
25; KC Garut (Konsolidasi;150;104;472;726
28; KC Indramayu (Konsolidasi;106;77;408;592
46; KC Majalengka (Konsolidasi;47;94;217;359
75; KC Purwakarta (Konsolidasi;94;184;273;551
92; KC Sukabumi (Konsolidasi;73;84;337;494
94; KC Sumedang (Konsolidasi;71;65;351;487
100; KC Tasikmalaya (Konsolidasi;70;107;423;600
104; KC Ciamis (Konsolidasi;30;66;208;304
105; KC Cianjur (Konsolidasi;158;48;383;589
107; KC Cirebon Kartini (Konsolidasi;431;251;854;1.536
123; KC Subang (Konsolidasi;70;149;249;468
132; KC Majalaya (Konsolidasi;53;18;244;315
133; KC Kuningan (Konsolidasi;132;55;323;510
137; KC Cimahi (Konsolidasi;458;106;682;1.246
161; KC Singaparna (Konsolidasi;140;63;238;441
162; KC Banjar (Konsolidasi;53;63;208;324
165; KC Jatibarang (Konsolidasi;51;30;218;300
181; KC Cibadak (Konsolidasi;78;101;247;426
286; KC Bandung Dewi Sartika (Konsolidasi;323;317;849;1.489
337; KC Bandung Naripan (Konsolidasi;188;256;582;1.025
354; KC Bandung A.H. Nasution (Konsolidasi;311;197;690;1.198
355; KC Pamanukan (Konsolidasi;65;105;212;382
389; KC Bandung Martadinata (Konsolidasi;159;104;461;725
401; KC Bandung Kopo (Konsolidasi;399;91;367;856
405; KC Bandung Dago (Konsolidasi;353;177;525;1.055
406; KC Cirebon Gunung Jati (Konsolidasi;185;80;339;604
407; KC Bandung Sukarno Hatta (Konsolidasi;237;125;379;741
408; KC Bandung Setiabudi (Konsolidasi;224;98;389;711
544; KC Soreang (Konsolidasi;90;78;271;439
