kode bo;nama bo; Deposito ; Giro ; Tabungan ; Grand Total 
5; KC Bandung AA (Konsolidasi; 251 ; 371 ; 1.116 ; 1.737 
25; KC Garut (Konsolidasi; 91 ; 110 ; 474 ; 675 
28; KC Indramayu (Konsolidasi; 102 ; 88 ; 429 ; 620 
46; KC Majalengka (Konsolidasi; 50 ; 54 ; 270 ; 374 
75; KC Purwakarta (Konsolidasi; 100 ; 194 ; 276 ; 570 
92; KC Sukabumi (Konsolidasi; 72 ; 73 ; 354 ; 499 
94; KC Sumedang (Konsolidasi; 85 ; 60 ; 346 ; 491 
100; KC Tasikmalaya (Konsolidasi; 78 ; 156 ; 444 ; 678 
104; KC Ciamis (Konsolidasi; 31 ; 51 ; 226 ; 308 
105; KC Cianjur (Konsolidasi; 232 ; 49 ; 387 ; 668 
107; KC Cirebon Kartini (Konsolidasi; 433 ; 233 ; 1.075 ; 1.741 
123; KC Subang (Konsolidasi; 68 ; 173 ; 277 ; 519 
132; KC Majalaya (Konsolidasi; 206 ; 21 ; 263 ; 491 
133; KC Kuningan (Konsolidasi; 147 ; 69 ; 357 ; 574 
137; KC Cimahi (Konsolidasi; 430 ; 119 ; 715 ; 1.264 
161; KC Singaparna (Konsolidasi; 130 ; 66 ; 250 ; 447 
162; KC Banjar (Konsolidasi; 49 ; 52 ; 219 ; 320 
165; KC Jatibarang (Konsolidasi; 50 ; 38 ; 213 ; 302 
181; KC Cibadak (Konsolidasi; 80 ; 63 ; 261 ; 403 
198; KANWIL Bandung (Konsolidasi;;; - ; - 
286; KC Bandung Dewi Sartika (Konsolidasi; 311 ; 341 ; 834 ; 1.487 
337; KC Bandung Naripan (Konsolidasi; 180 ; 228 ; 559 ; 968 
354; KC Bandung A.H. Nasution (Konsolidasi; 347 ; 189 ; 835 ; 1.370 
355; KC Pamanukan (Konsolidasi; 63 ; 106 ; 209 ; 377 
389; KC Bandung Martadinata (Konsolidasi; 161 ; 379 ; 329 ; 869 
401; KC Bandung Kopo (Konsolidasi; 535 ; 106 ; 416 ; 1.057 
405; KC Bandung Dago (Konsolidasi; 323 ; 216 ; 584 ; 1.123 
406; KC Cirebon Gunung Jati (Konsolidasi; 101 ; 73 ; 400 ; 575 
407; KC Bandung Sukarno Hatta (Konsolidasi; 258 ; 132 ; 392 ; 782 
408; KC Bandung Setiabudi (Konsolidasi; 218 ; 88 ; 396 ; 703 
544; KC Soreang (Konsolidasi; 88 ; 64 ; 257 ; 409 
Grand Total;; 5.271 ; 3.964 ; 13.164 ; 22.398 
