UKER;;KC Purwakarta;KC Subang;KC Indramayu;KC Jatibarang;KC Pamanukan;KC Sumedang;KC Majalengka;KC Cirebon Gunung Jati;KC Kuningan;KC Cirebon Kartini;KC Singaparna;KC Tasikmalaya;KC Garut;KC Ciamis;KC Banjar;KC Cibadak;KC Sukabumi;KC Cimahi;KC Cianjur;KC Soreang;KC Majalaya;KC Bandung Sukarno Hatta;KC Bandung A.H. Nasution;KC Bandung Dewi Sartika;KC Bandung Setiabudi;KC Bandung Naripan;KC Bandung Kopo;KC Bandung Dago;KC Bandung Martadinata;KC Bandung AA
01-Dec;DEPO; 112 ; 73 ; 125 ; 46 ; 64 ; 75 ; 94 ; 116 ; 131 ; 443 ; 144 ; 76 ; 201 ; 27 ; 48 ; 83 ; 78 ; 450 ; 163 ; 94 ; 54 ; 239 ; 314 ; 238 ; 251 ; 174 ; 426 ; 365 ; 168 ; 356 
02-Dec;DEPO; 112 ; 73 ; 124 ; 47 ; 64 ; 74 ; 93 ; 117 ; 131 ; 442 ; 144 ; 76 ; 200 ; 27 ; 48 ; 82 ; 78 ; 444 ; 163 ; 94 ; 54 ; 235 ; 314 ; 238 ; 251 ; 174 ; 177 ; 365 ; 168 ; 356 
03-Dec;DEPO; 111 ; 73 ; 122 ; 47 ; 63 ; 74 ; 93 ; 117 ; 131 ; 441 ; 144 ; 76 ; 200 ; 27 ; 48 ; 82 ; 78 ; 444 ; 163 ; 94 ; 56 ; 235 ; 313 ; 238 ; 249 ; 174 ; 527 ; 365 ; 168 ; 356 
04-Dec;DEPO; 111 ; 73 ; 122 ; 47 ; 63 ; 74 ; 94 ; 120 ; 131 ; 441 ; 144 ; 76 ; 201 ; 27 ; 48 ; 82 ; 74 ; 439 ; 163 ; 94 ; 56 ; 235 ; 313 ; 238 ; 249 ; 177 ; 527 ; 365 ; 169 ; 357 
05-Dec;DEPO; 111 ; 73 ; 122 ; 47 ; 62 ; 75 ; 94 ; 120 ; 131 ; 442 ; 144 ; 76 ; 201 ; 27 ; 48 ; 82 ; 71 ; 439 ; 163 ; 94 ; 57 ; 235 ; 313 ; 238 ; 247 ; 178 ; 527 ; 350 ; 169 ; 357 
06-Dec;DEPO; 111 ; 73 ; 122 ; 47 ; 62 ; 75 ; 94 ; 120 ; 131 ; 443 ; 144 ; 76 ; 201 ; 27 ; 48 ; 82 ; 71 ; 440 ; 163 ; 94 ; 57 ; 235 ; 313 ; 238 ; 247 ; 178 ; 527 ; 350 ; 169 ; 357 
07-Dec;DEPO; 111 ; 73 ; 122 ; 47 ; 62 ; 75 ; 94 ; 120 ; 131 ; 442 ; 144 ; 76 ; 201 ; 27 ; 48 ; 82 ; 71 ; 440 ; 163 ; 94 ; 57 ; 235 ; 313 ; 238 ; 247 ; 178 ; 527 ; 350 ; 169 ; 358 
08-Dec;DEPO; 111 ; 73 ; 122 ; 47 ; 62 ; 75 ; 94 ; 119 ; 131 ; 442 ; 144 ; 76 ; 201 ; 27 ; 48 ; 82 ; 71 ; 438 ; 163 ; 93 ; 57 ; 232 ; 314 ; 232 ; 246 ; 177 ; 526 ; 349 ; 169 ; 356 
09-Dec;DEPO; 111 ; 73 ; 122 ; 47 ; 62 ; 75 ; 94 ; 120 ; 131 ; 442 ; 144 ; 76 ; 201 ; 27 ; 48 ; 82 ; 71 ; 439 ; 163 ; 93 ; 57 ; 232 ; 314 ; 233 ; 246 ; 182 ; 527 ; 349 ; 169 ; 356 
10-Dec;DEPO; 111 ; 73 ; 122 ; 47 ; 62 ; 74 ; 94 ; 120 ; 131 ; 443 ; 144 ; 76 ; 201 ; 27 ; 48 ; 82 ; 71 ; 438 ; 163 ; 93 ; 57 ; 232 ; 313 ; 223 ; 248 ; 194 ; 527 ; 349 ; 169 ; 356 
