Row L;uker;Deposito;Giro;Tabungan;Grand Total
5; KC Bandung AA (Konsolidasi-MB);367;251;969;1587
25; KC Garut (Konsolidasi-MB);150;110;470;730
28; KC Indramayu (Konsolidasi-MB);113;74;422;609
46; KC Majalengka (Konsolidasi-MB);48;96;225;369
75; KC Purwakarta (Konsolidasi-MB);91;173;275;539
92; KC Sukabumi (Konsolidasi-MB);72;83;322;477
94; KC Sumedang (Konsolidasi-MB);74;58;357;489
100; KC Tasikmalaya (Konsolidasi-MB);75;100;416;591
104; KC Ciamis (Konsolidasi-MB);32;71;205;308
105; KC Cianjur (Konsolidasi-MB);159;49;365;573
107; KC Cirebon Kartini (Konsolidasi-MB);411;223;734;1368
123; KC Subang (Konsolidasi-MB);71;117;253;441
132; KC Majalaya (Konsolidasi-MB);56;18;238;313
133; KC Kuningan (Konsolidasi-MB);131;58;332;522
137; KC Cimahi (Konsolidasi-MB);474;104;675;1253
161; KC Singaparna (Konsolidasi-MB);143;47;257;447
162; KC Banjar (Konsolidasi-MB);49;62;208;319
165; KC Jatibarang (Konsolidasi-MB);50;24;201;275
181; KC Cibadak (Konsolidasi-MB);79;89;243;411
286; KC Bandung Dewi Sartika (Konsolidasi-MB);335;289;791;1416
337; KC Bandung Naripan (Konsolidasi-MB);177;260;508;945
354; KC Bandung A.H. Nasution (Konsolidasi-MB);317;190;718;1225
355; KC Pamanukan (Konsolidasi-MB);66;69;215;350
389; KC Bandung Martadinata (Konsolidasi-MB);162;121;325;608
401; KC Bandung Kopo (Konsolidasi-MB);535;89;393;1017
405; KC Bandung Dago (Konsolidasi-MB);346;140;491;977
406; KC Cirebon Gunung Jati (Konsolidasi-MB);117;94;335;547
407; KC Bandung Sukarno Hatta (Konsolidasi-MB);204;163;377;743
408; KC Bandung Setiabudi (Konsolidasi-MB);237;108;378;723
544; KC Soreang (Konsolidasi-MB);92;77;260;429
