UKER;;KC Purwakarta;KC Subang;KC Indramayu;KC Jatibarang;KC Pamanukan;KC Sumedang;KC Majalengka;KC Cirebon Gunung Jati;KC Kuningan;KC Cirebon Kartini;KC Singaparna;KC Tasikmalaya;KC Garut;KC Ciamis;KC Banjar;KC Cibadak;KC Sukabumi;KC Cimahi;KC Cianjur;KC Soreang;KC Majalaya;KC Bandung Sukarno Hatta;KC Bandung A.H. Nasution;KC Bandung Dewi Sartika;KC Bandung Setiabudi;KC Bandung Naripan;KC Bandung Kopo;KC Bandung Dago;KC Bandung Martadinata;KC Bandung AA
31-Dec;TAB ; 300 ; 290 ; 456 ; 201 ; 241 ; 378 ; 253 ; 355 ; 336 ; 751 ; 281 ; 435 ; 487 ; 221 ; 220 ; 264 ; 327 ; 748 ; 434 ; 274 ; 261 ; 445 ; 773 ; 773 ; 426 ; 562 ; 375 ; 594 ; 539 ; 1.055 
01-Jan;TAB ; 304 ; 264 ; 458 ; 199 ; 237 ; 383 ; 256 ; 357 ; 340 ; 746 ; 276 ; 436 ; 492 ; 220 ; 218 ; 256 ; 335 ; 733 ; 430 ; 270 ; 252 ; 432 ; 772 ; 771 ; 415 ; 558 ; 375 ; 591 ; 536 ; 1.097 
02-Jan;TAB ; 304 ; 264 ; 458 ; 199 ; 237 ; 383 ; 256 ; 357 ; 340 ; 746 ; 276 ; 436 ; 492 ; 220 ; 218 ; 256 ; 335 ; 733 ; 430 ; 270 ; 252 ; 432 ; 772 ; 771 ; 415 ; 558 ; 375 ; 591 ; 536 ; 1.097 
03-Jan;TAB ; 301 ; 261 ; 453 ; 194 ; 237 ; 380 ; 253 ; 357 ; 338 ; 741 ; 274 ; 432 ; 487 ; 216 ; 216 ; 254 ; 332 ; 725 ; 427 ; 269 ; 250 ; 428 ; 766 ; 770 ; 411 ; 558 ; 374 ; 588 ; 534 ; 1.090 
04-Jan;TAB ; 300 ; 259 ; 451 ; 195 ; 237 ; 377 ; 252 ; 355 ; 339 ; 737 ; 272 ; 428 ; 484 ; 215 ; 215 ; 252 ; 332 ; 718 ; 424 ; 268 ; 250 ; 425 ; 766 ; 768 ; 409 ; 550 ; 372 ; 587 ; 533 ; 1.084 
05-Jan;TAB ; 293 ; 256 ; 456 ; 196 ; 231 ; 374 ; 253 ; 353 ; 339 ; 738 ; 270 ; 426 ; 504 ; 215 ; 216 ; 253 ; 330 ; 714 ; 399 ; 256 ; 251 ; 425 ; 764 ; 725 ; 408 ; 542 ; 373 ; 543 ; 373 ; 1.072 
06-Jan;TAB ; 292 ; 253 ; 452 ; 193 ; 225 ; 375 ; 249 ; 357 ; 338 ; 736 ; 265 ; 434 ; 500 ; 214 ; 212 ; 251 ; 330 ; 711 ; 386 ; 254 ; 249 ; 437 ; 760 ; 746 ; 408 ; 536 ; 374 ; 546 ; 348 ; 1.072 
07-Jan;TAB ; 293 ; 251 ; 448 ; 203 ; 223 ; 373 ; 247 ; 351 ; 340 ; 735 ; 268 ; 429 ; 496 ; 214 ; 212 ; 249 ; 327 ; 704 ; 370 ; 271 ; 249 ; 410 ; 753 ; 754 ; 390 ; 528 ; 371 ; 538 ; 346 ; 1.039 
08-Jan;TAB ; 291 ; 257 ; 444 ; 208 ; 221 ; 371 ; 247 ; 345 ; 339 ; 734 ; 267 ; 428 ; 498 ; 218 ; 213 ; 247 ; 327 ; 705 ; 376 ; 271 ; 248 ; 409 ; 732 ; 748 ; 388 ; 525 ; 373 ; 518 ; 344 ; 1.052 
09-Jan;TAB ; 290 ; 263 ; 446 ; 213 ; 224 ; 371 ; 246 ; 346 ; 341 ; 738 ; 265 ; 435 ; 496 ; 213 ; 213 ; 243 ; 330 ; 696 ; 408 ; 273 ; 248 ; 395 ; 729 ; 744 ; 375 ; 521 ; 376 ; 514 ; 343 ; 1.015 
10-Jan;TAB ; 287 ; 259 ; 441 ; 210 ; 221 ; 368 ; 243 ; 346 ; 342 ; 736 ; 265 ; 433 ; 494 ; 211 ; 211 ; 242 ; 329 ; 693 ; 405 ; 271 ; 249 ; 393 ; 726 ; 742 ; 372 ; 516 ; 375 ; 512 ; 342 ; 1.011 
